序号,一致,本项目时间,CZSC时间,本项目OHLC,CZSC OHLC,本项目原始K数,CZSC原始K数,本项目原始范围,CZSC原始范围
89,True,2019-10-19 23:00:00+00:00,2019-10-19 23:00:00+00:00,7937.78/7954.99/7926.17/7948.01,7937.78/7954.99/7926.17/7948.01,1,1,2019-10-19T23:00:00+00:00 ~ 2019-10-19T23:00:00+00:00,2019-10-19T23:00:00+00:00 ~ 2019-10-19T23:00:00+00:00
90,True,2019-10-20 00:00:00+00:00,2019-10-20 00:00:00+00:00,7949.87/7953.21/7891.16/7917.55,7949.87/7953.21/7891.16/7917.55,1,1,2019-10-20T00:00:00+00:00 ~ 2019-10-20T00:00:00+00:00,2019-10-20T00:00:00+00:00 ~ 2019-10-20T00:00:00+00:00
91,True,2019-10-20 01:00:00+00:00,2019-10-20 01:00:00+00:00,7917.55/7927.36/7881/7904.64,7917.55/7927.36/7881/7904.64,1,1,2019-10-20T01:00:00+00:00 ~ 2019-10-20T01:00:00+00:00,2019-10-20T01:00:00+00:00 ~ 2019-10-20T01:00:00+00:00
92,True,2019-10-20 02:00:00+00:00,2019-10-20 02:00:00+00:00,7870/7918.02/7870/7918.02,7870/7918.02/7870/7918.02,2,2,2019-10-20T02:00:00+00:00 ~ 2019-10-20T03:00:00+00:00,2019-10-20T02:00:00+00:00 ~ 2019-10-20T03:00:00+00:00
93,True,2019-10-20 06:00:00+00:00,2019-10-20 06:00:00+00:00,7902.1/7940.47/7902.1/7940.47,7902.1/7940.47/7902.1/7940.47,3,3,2019-10-20T04:00:00+00:00 ~ 2019-10-20T06:00:00+00:00,2019-10-20T04:00:00+00:00 ~ 2019-10-20T06:00:00+00:00
94,True,2019-10-20 07:00:00+00:00,2019-10-20 07:00:00+00:00,7928.05/7935.94/7900.22/7905.17,7928.05/7935.94/7900.22/7905.17,1,1,2019-10-20T07:00:00+00:00 ~ 2019-10-20T07:00:00+00:00,2019-10-20T07:00:00+00:00 ~ 2019-10-20T07:00:00+00:00
95,True,2019-10-20 08:00:00+00:00,2019-10-20 08:00:00+00:00,7907.14/7929.75/7883/7925.2,7907.14/7929.75/7883/7925.2,1,1,2019-10-20T08:00:00+00:00 ~ 2019-10-20T08:00:00+00:00,2019-10-20T08:00:00+00:00 ~ 2019-10-20T08:00:00+00:00
96,True,2019-10-20 09:00:00+00:00,2019-10-20 09:00:00+00:00,7925.85/7985/7925.85/7985,7925.85/7985/7925.85/7985,3,3,2019-10-20T09:00:00+00:00 ~ 2019-10-20T11:00:00+00:00,2019-10-20T09:00:00+00:00 ~ 2019-10-20T11:00:00+00:00
97,True,2019-10-20 12:00:00+00:00,2019-10-20 12:00:00+00:00,7950.01/7990/7950.01/7990,7950.01/7990/7950.01/7990,2,2,2019-10-20T12:00:00+00:00 ~ 2019-10-20T13:00:00+00:00,2019-10-20T12:00:00+00:00 ~ 2019-10-20T13:00:00+00:00
98,True,2019-10-20 14:00:00+00:00,2019-10-20 14:00:00+00:00,7957.23/8011.95/7951.95/8000.79,7957.23/8011.95/7951.95/8000.79,1,1,2019-10-20T14:00:00+00:00 ~ 2019-10-20T14:00:00+00:00,2019-10-20T14:00:00+00:00 ~ 2019-10-20T14:00:00+00:00
99,True,2019-10-20 15:00:00+00:00,2019-10-20 15:00:00+00:00,8001.1/8043.44/7982.31/8026.46,8001.1/8043.44/7982.31/8026.46,1,1,2019-10-20T15:00:00+00:00 ~ 2019-10-20T15:00:00+00:00,2019-10-20T15:00:00+00:00 ~ 2019-10-20T15:00:00+00:00
100,True,2019-10-20 16:00:00+00:00,2019-10-20 16:00:00+00:00,8026.47/8077/8006.45/8066.33,8026.47/8077/8006.45/8066.33,1,1,2019-10-20T16:00:00+00:00 ~ 2019-10-20T16:00:00+00:00,2019-10-20T16:00:00+00:00 ~ 2019-10-20T16:00:00+00:00
101,True,2019-10-20 17:00:00+00:00,2019-10-20 17:00:00+00:00,8065.51/8172.73/8046.43/8139.77,8065.51/8172.73/8046.43/8139.77,1,1,2019-10-20T17:00:00+00:00 ~ 2019-10-20T17:00:00+00:00,2019-10-20T17:00:00+00:00 ~ 2019-10-20T17:00:00+00:00
102,True,2019-10-20 18:00:00+00:00,2019-10-20 18:00:00+00:00,8139.87/8174.88/8126.65/8132.34,8139.87/8174.88/8126.65/8132.34,1,1,2019-10-20T18:00:00+00:00 ~ 2019-10-20T18:00:00+00:00,2019-10-20T18:00:00+00:00 ~ 2019-10-20T18:00:00+00:00
103,True,2019-10-20 19:00:00+00:00,2019-10-20 19:00:00+00:00,8133.39/8239/8132.06/8235,8133.39/8239/8132.06/8235,1,1,2019-10-20T19:00:00+00:00 ~ 2019-10-20T19:00:00+00:00,2019-10-20T19:00:00+00:00 ~ 2019-10-20T19:00:00+00:00
104,True,2019-10-20 20:00:00+00:00,2019-10-20 20:00:00+00:00,8235/8297/8202.01/8213.73,8235/8297/8202.01/8213.73,1,1,2019-10-20T20:00:00+00:00 ~ 2019-10-20T20:00:00+00:00,2019-10-20T20:00:00+00:00 ~ 2019-10-20T20:00:00+00:00
105,True,2019-10-20 21:00:00+00:00,2019-10-20 21:00:00+00:00,8180.89/8229/8180.89/8229,8180.89/8229/8180.89/8229,2,2,2019-10-20T21:00:00+00:00 ~ 2019-10-20T22:00:00+00:00,2019-10-20T21:00:00+00:00 ~ 2019-10-20T22:00:00+00:00
106,True,2019-10-20 23:00:00+00:00,2019-10-20 23:00:00+00:00,8199.12/8226.04/8165.36/8223.35,8199.12/8226.04/8165.36/8223.35,1,1,2019-10-20T23:00:00+00:00 ~ 2019-10-20T23:00:00+00:00,2019-10-20T23:00:00+00:00 ~ 2019-10-20T23:00:00+00:00
107,True,2019-10-21 00:00:00+00:00,2019-10-21 00:00:00+00:00,8223.35/8235/8193.14/8199.23,8223.35/8235/8193.14/8199.23,1,1,2019-10-21T00:00:00+00:00 ~ 2019-10-21T00:00:00+00:00,2019-10-21T00:00:00+00:00 ~ 2019-10-21T00:00:00+00:00
108,True,2019-10-21 01:00:00+00:00,2019-10-21 01:00:00+00:00,8199.25/8223.48/8183/8215.03,8199.25/8223.48/8183/8215.03,1,1,2019-10-21T01:00:00+00:00 ~ 2019-10-21T01:00:00+00:00,2019-10-21T01:00:00+00:00 ~ 2019-10-21T01:00:00+00:00
109,True,2019-10-21 02:00:00+00:00,2019-10-21 02:00:00+00:00,8251.41/8251.41/8205.89/8205.89,8251.41/8251.41/8205.89/8205.89,2,2,2019-10-21T02:00:00+00:00 ~ 2019-10-21T03:00:00+00:00,2019-10-21T02:00:00+00:00 ~ 2019-10-21T03:00:00+00:00
110,True,2019-10-21 04:00:00+00:00,2019-10-21 04:00:00+00:00,8220.57/8231.24/8201.63/8215.14,8220.57/8231.24/8201.63/8215.14,1,1,2019-10-21T04:00:00+00:00 ~ 2019-10-21T04:00:00+00:00,2019-10-21T04:00:00+00:00 ~ 2019-10-21T04:00:00+00:00
111,True,2019-10-21 05:00:00+00:00,2019-10-21 05:00:00+00:00,8215.85/8240.7/8206.32/8229.97,8215.85/8240.7/8206.32/8229.97,1,1,2019-10-21T05:00:00+00:00 ~ 2019-10-21T05:00:00+00:00,2019-10-21T05:00:00+00:00 ~ 2019-10-21T05:00:00+00:00
112,True,2019-10-21 06:00:00+00:00,2019-10-21 06:00:00+00:00,8229.12/8249.18/8224/8231.91,8229.12/8249.18/8224/8231.91,1,1,2019-10-21T06:00:00+00:00 ~ 2019-10-21T06:00:00+00:00,2019-10-21T06:00:00+00:00 ~ 2019-10-21T06:00:00+00:00
113,True,2019-10-21 07:00:00+00:00,2019-10-21 07:00:00+00:00,8231.88/8239.66/8206.13/8223.8,8231.88/8239.66/8206.13/8223.8,1,1,2019-10-21T07:00:00+00:00 ~ 2019-10-21T07:00:00+00:00,2019-10-21T07:00:00+00:00 ~ 2019-10-21T07:00:00+00:00
114,True,2019-10-21 08:00:00+00:00,2019-10-21 08:00:00+00:00,8223.11/8225.3/8195/8221.53,8223.11/8225.3/8195/8221.53,1,1,2019-10-21T08:00:00+00:00 ~ 2019-10-21T08:00:00+00:00,2019-10-21T08:00:00+00:00 ~ 2019-10-21T08:00:00+00:00
115,True,2019-10-21 09:00:00+00:00,2019-10-21 09:00:00+00:00,8221.53/8223.66/8189.89/8200.73,8221.53/8223.66/8189.89/8200.73,1,1,2019-10-21T09:00:00+00:00 ~ 2019-10-21T09:00:00+00:00,2019-10-21T09:00:00+00:00 ~ 2019-10-21T09:00:00+00:00
116,True,2019-10-21 10:00:00+00:00,2019-10-21 10:00:00+00:00,8286.28/8286.28/8226.68/8226.68,8286.28/8286.28/8226.68/8226.68,3,3,2019-10-21T10:00:00+00:00 ~ 2019-10-21T12:00:00+00:00,2019-10-21T10:00:00+00:00 ~ 2019-10-21T12:00:00+00:00
117,True,2019-10-21 13:00:00+00:00,2019-10-21 13:00:00+00:00,8232.04/8247.41/8219.87/8238.91,8232.04/8247.41/8219.87/8238.91,1,1,2019-10-21T13:00:00+00:00 ~ 2019-10-21T13:00:00+00:00,2019-10-21T13:00:00+00:00 ~ 2019-10-21T13:00:00+00:00
118,True,2019-10-21 15:00:00+00:00,2019-10-21 15:00:00+00:00,8333/8333/8231.89/8231.89,8333/8333/8231.89/8231.89,2,2,2019-10-21T14:00:00+00:00 ~ 2019-10-21T15:00:00+00:00,2019-10-21T14:00:00+00:00 ~ 2019-10-21T15:00:00+00:00
119,True,2019-10-21 16:00:00+00:00,2019-10-21 16:00:00+00:00,8142.03/8190.05/8142.03/8190.05,8142.03/8190.05/8142.03/8190.05,2,2,2019-10-21T16:00:00+00:00 ~ 2019-10-21T17:00:00+00:00,2019-10-21T16:00:00+00:00 ~ 2019-10-21T17:00:00+00:00
120,True,2019-10-21 18:00:00+00:00,2019-10-21 18:00:00+00:00,8153.65/8192.9/8153.65/8192.9,8153.65/8192.9/8153.65/8192.9,2,2,2019-10-21T18:00:00+00:00 ~ 2019-10-21T19:00:00+00:00,2019-10-21T18:00:00+00:00 ~ 2019-10-21T19:00:00+00:00
121,True,2019-10-21 20:00:00+00:00,2019-10-21 20:00:00+00:00,8183.56/8198/8183.16/8189.61,8183.56/8198/8183.16/8189.61,1,1,2019-10-21T20:00:00+00:00 ~ 2019-10-21T20:00:00+00:00,2019-10-21T20:00:00+00:00 ~ 2019-10-21T20:00:00+00:00
122,True,2019-10-21 21:00:00+00:00,2019-10-21 21:00:00+00:00,8189.61/8229.88/8188.71/8205.48,8189.61/8229.88/8188.71/8205.48,1,1,2019-10-21T21:00:00+00:00 ~ 2019-10-21T21:00:00+00:00,2019-10-21T21:00:00+00:00 ~ 2019-10-21T21:00:00+00:00
123,True,2019-10-21 22:00:00+00:00,2019-10-21 22:00:00+00:00,8205.87/8216.22/8180.57/8180.76,8205.87/8216.22/8180.57/8180.76,1,1,2019-10-21T22:00:00+00:00 ~ 2019-10-21T22:00:00+00:00,2019-10-21T22:00:00+00:00 ~ 2019-10-21T22:00:00+00:00
124,True,2019-10-21 23:00:00+00:00,2019-10-21 23:00:00+00:00,8180.76/8214.12/8176.95/8197.27,8180.76/8214.12/8176.95/8197.27,1,1,2019-10-21T23:00:00+00:00 ~ 2019-10-21T23:00:00+00:00,2019-10-21T23:00:00+00:00 ~ 2019-10-21T23:00:00+00:00
125,True,2019-10-22 00:00:00+00:00,2019-10-22 00:00:00+00:00,8197.28/8206.94/8161.31/8185.3,8197.28/8206.94/8161.31/8185.3,1,1,2019-10-22T00:00:00+00:00 ~ 2019-10-22T00:00:00+00:00,2019-10-22T00:00:00+00:00 ~ 2019-10-22T00:00:00+00:00
126,True,2019-10-22 01:00:00+00:00,2019-10-22 01:00:00+00:00,8159.96/8198.11/8159.96/8198.11,8159.96/8198.11/8159.96/8198.11,2,2,2019-10-22T01:00:00+00:00 ~ 2019-10-22T02:00:00+00:00,2019-10-22T01:00:00+00:00 ~ 2019-10-22T02:00:00+00:00
127,True,2019-10-22 03:00:00+00:00,2019-10-22 03:00:00+00:00,8181.73/8208.45/8175.23/8201.54,8181.73/8208.45/8175.23/8201.54,1,1,2019-10-22T03:00:00+00:00 ~ 2019-10-22T03:00:00+00:00,2019-10-22T03:00:00+00:00 ~ 2019-10-22T03:00:00+00:00
128,True,2019-10-22 04:00:00+00:00,2019-10-22 04:00:00+00:00,8202.09/8218.54/8189.12/8212.3,8202.09/8218.54/8189.12/8212.3,1,1,2019-10-22T04:00:00+00:00 ~ 2019-10-22T04:00:00+00:00,2019-10-22T04:00:00+00:00 ~ 2019-10-22T04:00:00+00:00
129,True,2019-10-22 05:00:00+00:00,2019-10-22 05:00:00+00:00,8213.48/8218.55/8190.87/8208.09,8213.48/8218.55/8190.87/8208.09,1,1,2019-10-22T05:00:00+00:00 ~ 2019-10-22T05:00:00+00:00,2019-10-22T05:00:00+00:00 ~ 2019-10-22T05:00:00+00:00
130,True,2019-10-22 06:00:00+00:00,2019-10-22 06:00:00+00:00,8208.97/8209.44/8187.49/8200.57,8208.97/8209.44/8187.49/8200.57,1,1,2019-10-22T06:00:00+00:00 ~ 2019-10-22T06:00:00+00:00,2019-10-22T06:00:00+00:00 ~ 2019-10-22T06:00:00+00:00
131,True,2019-10-22 07:00:00+00:00,2019-10-22 07:00:00+00:00,8200.27/8226.57/8190.08/8208.6,8200.27/8226.57/8190.08/8208.6,1,1,2019-10-22T07:00:00+00:00 ~ 2019-10-22T07:00:00+00:00,2019-10-22T07:00:00+00:00 ~ 2019-10-22T07:00:00+00:00
132,True,2019-10-22 08:00:00+00:00,2019-10-22 08:00:00+00:00,8208.6/8256.33/8208.51/8248.83,8208.6/8256.33/8208.51/8248.83,1,1,2019-10-22T08:00:00+00:00 ~ 2019-10-22T08:00:00+00:00,2019-10-22T08:00:00+00:00 ~ 2019-10-22T08:00:00+00:00
133,True,2019-10-22 12:00:00+00:00,2019-10-22 12:00:00+00:00,8297.99/8297.99/8234.5/8234.5,8297.99/8297.99/8234.5/8234.5,4,4,2019-10-22T09:00:00+00:00 ~ 2019-10-22T12:00:00+00:00,2019-10-22T09:00:00+00:00 ~ 2019-10-22T12:00:00+00:00
134,True,2019-10-22 13:00:00+00:00,2019-10-22 13:00:00+00:00,8241.38/8250/8195/8223.52,8241.38/8250/8195/8223.52,1,1,2019-10-22T13:00:00+00:00 ~ 2019-10-22T13:00:00+00:00,2019-10-22T13:00:00+00:00 ~ 2019-10-22T13:00:00+00:00
135,True,2019-10-22 14:00:00+00:00,2019-10-22 14:00:00+00:00,8222.98/8229.38/8189.99/8194.64,8222.98/8229.38/8189.99/8194.64,1,1,2019-10-22T14:00:00+00:00 ~ 2019-10-22T14:00:00+00:00,2019-10-22T14:00:00+00:00 ~ 2019-10-22T14:00:00+00:00
136,True,2019-10-22 15:00:00+00:00,2019-10-22 15:00:00+00:00,8193.18/8214.97/8165/8210.31,8193.18/8214.97/8165/8210.31,1,1,2019-10-22T15:00:00+00:00 ~ 2019-10-22T15:00:00+00:00,2019-10-22T15:00:00+00:00 ~ 2019-10-22T15:00:00+00:00
137,True,2019-10-22 16:00:00+00:00,2019-10-22 16:00:00+00:00,8185.52/8223.24/8185.52/8223.24,8185.52/8223.24/8185.52/8223.24,2,2,2019-10-22T16:00:00+00:00 ~ 2019-10-22T17:00:00+00:00,2019-10-22T16:00:00+00:00 ~ 2019-10-22T17:00:00+00:00
138,True,2019-10-22 18:00:00+00:00,2019-10-22 18:00:00+00:00,8203.44/8206.69/8175.17/8190.38,8203.44/8206.69/8175.17/8190.38,1,1,2019-10-22T18:00:00+00:00 ~ 2019-10-22T18:00:00+00:00,2019-10-22T18:00:00+00:00 ~ 2019-10-22T18:00:00+00:00
139,True,2019-10-22 19:00:00+00:00,2019-10-22 19:00:00+00:00,8189.91/8194.39/8156/8167.91,8189.91/8194.39/8156/8167.91,1,1,2019-10-22T19:00:00+00:00 ~ 2019-10-22T19:00:00+00:00,2019-10-22T19:00:00+00:00 ~ 2019-10-22T19:00:00+00:00
140,True,2019-10-22 20:00:00+00:00,2019-10-22 20:00:00+00:00,8108.01/8108.01/8055/8055,8108.01/8108.01/8055/8055,3,3,2019-10-22T20:00:00+00:00 ~ 2019-10-22T22:00:00+00:00,2019-10-22T20:00:00+00:00 ~ 2019-10-22T22:00:00+00:00
141,True,2019-10-23 00:00:00+00:00,2019-10-23 00:00:00+00:00,8000/8044.99/8000/8044.99,8000/8044.99/8000/8044.99,2,2,2019-10-22T23:00:00+00:00 ~ 2019-10-23T00:00:00+00:00,2019-10-22T23:00:00+00:00 ~ 2019-10-23T00:00:00+00:00
142,True,2019-10-23 01:00:00+00:00,2019-10-23 01:00:00+00:00,8029/8047.59/8024.16/8032.56,8029/8047.59/8024.16/8032.56,1,1,2019-10-23T01:00:00+00:00 ~ 2019-10-23T01:00:00+00:00,2019-10-23T01:00:00+00:00 ~ 2019-10-23T01:00:00+00:00
143,True,2019-10-23 02:00:00+00:00,2019-10-23 02:00:00+00:00,8032.56/8039.01/8011.11/8033.92,8032.56/8039.01/8011.11/8033.92,1,1,2019-10-23T02:00:00+00:00 ~ 2019-10-23T02:00:00+00:00,2019-10-23T02:00:00+00:00 ~ 2019-10-23T02:00:00+00:00
144,True,2019-10-23 04:00:00+00:00,2019-10-23 04:00:00+00:00,7930/7975.01/7930/7975.01,7930/7975.01/7930/7975.01,2,2,2019-10-23T03:00:00+00:00 ~ 2019-10-23T04:00:00+00:00,2019-10-23T03:00:00+00:00 ~ 2019-10-23T04:00:00+00:00
145,True,2019-10-23 05:00:00+00:00,2019-10-23 05:00:00+00:00,7969.45/7971.84/7920/7953.8,7969.45/7971.84/7920/7953.8,1,1,2019-10-23T05:00:00+00:00 ~ 2019-10-23T05:00:00+00:00,2019-10-23T05:00:00+00:00 ~ 2019-10-23T05:00:00+00:00
146,True,2019-10-23 06:00:00+00:00,2019-10-23 06:00:00+00:00,7954.33/7980.24/7938.79/7969,7954.33/7980.24/7938.79/7969,1,1,2019-10-23T06:00:00+00:00 ~ 2019-10-23T06:00:00+00:00,2019-10-23T06:00:00+00:00 ~ 2019-10-23T06:00:00+00:00
147,True,2019-10-23 07:00:00+00:00,2019-10-23 07:00:00+00:00,7969.01/7984.2/7945.76/7957.19,7969.01/7984.2/7945.76/7957.19,1,1,2019-10-23T07:00:00+00:00 ~ 2019-10-23T07:00:00+00:00,2019-10-23T07:00:00+00:00 ~ 2019-10-23T07:00:00+00:00
148,True,2019-10-23 08:00:00+00:00,2019-10-23 08:00:00+00:00,7957.34/7994.1/7947.8/7976.15,7957.34/7994.1/7947.8/7976.15,1,1,2019-10-23T08:00:00+00:00 ~ 2019-10-23T08:00:00+00:00,2019-10-23T08:00:00+00:00 ~ 2019-10-23T08:00:00+00:00
149,True,2019-10-23 09:00:00+00:00,2019-10-23 09:00:00+00:00,7976.57/7999/7972.55/7991.21,7976.57/7999/7972.55/7991.21,1,1,2019-10-23T09:00:00+00:00 ~ 2019-10-23T09:00:00+00:00,2019-10-23T09:00:00+00:00 ~ 2019-10-23T09:00:00+00:00
150,True,2019-10-23 10:00:00+00:00,2019-10-23 10:00:00+00:00,7991.19/8011.96/7986.19/7996.15,7991.19/8011.96/7986.19/7996.15,1,1,2019-10-23T10:00:00+00:00 ~ 2019-10-23T10:00:00+00:00,2019-10-23T10:00:00+00:00 ~ 2019-10-23T10:00:00+00:00
151,True,2019-10-23 11:00:00+00:00,2019-10-23 11:00:00+00:00,7997.54/8006.71/7945.31/7963.57,7997.54/8006.71/7945.31/7963.57,1,1,2019-10-23T11:00:00+00:00 ~ 2019-10-23T11:00:00+00:00,2019-10-23T11:00:00+00:00 ~ 2019-10-23T11:00:00+00:00
152,True,2019-10-23 12:00:00+00:00,2019-10-23 12:00:00+00:00,7962.23/7963.98/7500/7550.59,7962.23/7963.98/7500/7550.59,1,1,2019-10-23T12:00:00+00:00 ~ 2019-10-23T12:00:00+00:00,2019-10-23T12:00:00+00:00 ~ 2019-10-23T12:00:00+00:00
153,True,2019-10-23 16:00:00+00:00,2019-10-23 16:00:00+00:00,7300/7480/7300/7480,7300/7480/7300/7480,4,4,2019-10-23T13:00:00+00:00 ~ 2019-10-23T16:00:00+00:00,2019-10-23T13:00:00+00:00 ~ 2019-10-23T16:00:00+00:00
154,True,2019-10-23 17:00:00+00:00,2019-10-23 17:00:00+00:00,7470.8/7514.26/7460.45/7503.11,7470.8/7514.26/7460.45/7503.11,1,1,2019-10-23T17:00:00+00:00 ~ 2019-10-23T17:00:00+00:00,2019-10-23T17:00:00+00:00 ~ 2019-10-23T17:00:00+00:00
155,True,2019-10-23 18:00:00+00:00,2019-10-23 18:00:00+00:00,7503.11/7535.55/7487.31/7506.38,7503.11/7535.55/7487.31/7506.38,1,1,2019-10-23T18:00:00+00:00 ~ 2019-10-23T18:00:00+00:00,2019-10-23T18:00:00+00:00 ~ 2019-10-23T18:00:00+00:00
156,True,2019-10-23 19:00:00+00:00,2019-10-23 19:00:00+00:00,7506.37/7523.73/7480.05/7482.9,7506.37/7523.73/7480.05/7482.9,1,1,2019-10-23T19:00:00+00:00 ~ 2019-10-23T19:00:00+00:00,2019-10-23T19:00:00+00:00 ~ 2019-10-23T19:00:00+00:00
157,True,2019-10-23 20:00:00+00:00,2019-10-23 20:00:00+00:00,7482.9/7498.99/7460.01/7486.37,7482.9/7498.99/7460.01/7486.37,1,1,2019-10-23T20:00:00+00:00 ~ 2019-10-23T20:00:00+00:00,2019-10-23T20:00:00+00:00 ~ 2019-10-23T20:00:00+00:00
158,True,2019-10-23 21:00:00+00:00,2019-10-23 21:00:00+00:00,7486.06/7497.79/7426/7431.57,7486.06/7497.79/7426/7431.57,1,1,2019-10-23T21:00:00+00:00 ~ 2019-10-23T21:00:00+00:00,2019-10-23T21:00:00+00:00 ~ 2019-10-23T21:00:00+00:00
159,True,2019-10-23 22:00:00+00:00,2019-10-23 22:00:00+00:00,7428.58/7472.72/7386.37/7416.89,7428.58/7472.72/7386.37/7416.89,1,1,2019-10-23T22:00:00+00:00 ~ 2019-10-23T22:00:00+00:00,2019-10-23T22:00:00+00:00 ~ 2019-10-23T22:00:00+00:00
160,True,2019-10-23 23:00:00+00:00,2019-10-23 23:00:00+00:00,7416.89/7476.02/7405.21/7466.62,7416.89/7476.02/7405.21/7466.62,1,1,2019-10-23T23:00:00+00:00 ~ 2019-10-23T23:00:00+00:00,2019-10-23T23:00:00+00:00 ~ 2019-10-23T23:00:00+00:00
161,True,2019-10-24 00:00:00+00:00,2019-10-24 00:00:00+00:00,7468.47/7497.96/7448/7459.72,7468.47/7497.96/7448/7459.72,1,1,2019-10-24T00:00:00+00:00 ~ 2019-10-24T00:00:00+00:00,2019-10-24T00:00:00+00:00 ~ 2019-10-24T00:00:00+00:00
162,True,2019-10-24 01:00:00+00:00,2019-10-24 01:00:00+00:00,7459.7/7477.99/7420/7440.25,7459.7/7477.99/7420/7440.25,1,1,2019-10-24T01:00:00+00:00 ~ 2019-10-24T01:00:00+00:00,2019-10-24T01:00:00+00:00 ~ 2019-10-24T01:00:00+00:00
163,True,2019-10-24 03:00:00+00:00,2019-10-24 03:00:00+00:00,7434.85/7434.85/7400/7400,7434.85/7434.85/7400/7400,2,2,2019-10-24T02:00:00+00:00 ~ 2019-10-24T03:00:00+00:00,2019-10-24T02:00:00+00:00 ~ 2019-10-24T03:00:00+00:00
164,True,2019-10-24 04:00:00+00:00,2019-10-24 04:00:00+00:00,7429.1/7429.1/7397.13/7397.13,7429.1/7429.1/7397.13/7397.13,2,2,2019-10-24T04:00:00+00:00 ~ 2019-10-24T05:00:00+00:00,2019-10-24T04:00:00+00:00 ~ 2019-10-24T05:00:00+00:00
165,True,2019-10-24 06:00:00+00:00,2019-10-24 06:00:00+00:00,7412.72/7414.38/7337.99/7360.14,7412.72/7414.38/7337.99/7360.14,1,1,2019-10-24T06:00:00+00:00 ~ 2019-10-24T06:00:00+00:00,2019-10-24T06:00:00+00:00 ~ 2019-10-24T06:00:00+00:00
166,True,2019-10-24 07:00:00+00:00,2019-10-24 07:00:00+00:00,7360.15/7441.67/7357.18/7420.89,7360.15/7441.67/7357.18/7420.89,1,1,2019-10-24T07:00:00+00:00 ~ 2019-10-24T07:00:00+00:00,2019-10-24T07:00:00+00:00 ~ 2019-10-24T07:00:00+00:00
167,True,2019-10-24 08:00:00+00:00,2019-10-24 08:00:00+00:00,7420.36/7459.95/7389.2/7449.41,7420.36/7459.95/7389.2/7449.41,1,1,2019-10-24T08:00:00+00:00 ~ 2019-10-24T08:00:00+00:00,2019-10-24T08:00:00+00:00 ~ 2019-10-24T08:00:00+00:00
168,True,2019-10-24 09:00:00+00:00,2019-10-24 09:00:00+00:00,7450.53/7478/7435.23/7441,7450.53/7478/7435.23/7441,1,1,2019-10-24T09:00:00+00:00 ~ 2019-10-24T09:00:00+00:00,2019-10-24T09:00:00+00:00 ~ 2019-10-24T09:00:00+00:00
169,True,2019-10-24 10:00:00+00:00,2019-10-24 10:00:00+00:00,7441/7459.88/7427.5/7435.41,7441/7459.88/7427.5/7435.41,1,1,2019-10-24T10:00:00+00:00 ~ 2019-10-24T10:00:00+00:00,2019-10-24T10:00:00+00:00 ~ 2019-10-24T10:00:00+00:00
170,True,2019-10-24 11:00:00+00:00,2019-10-24 11:00:00+00:00,7435.39/7441.98/7413/7421.83,7435.39/7441.98/7413/7421.83,1,1,2019-10-24T11:00:00+00:00 ~ 2019-10-24T11:00:00+00:00,2019-10-24T11:00:00+00:00 ~ 2019-10-24T11:00:00+00:00
171,True,2019-10-24 12:00:00+00:00,2019-10-24 12:00:00+00:00,7421.09/7463.75/7420.06/7442.77,7421.09/7463.75/7420.06/7442.77,1,1,2019-10-24T12:00:00+00:00 ~ 2019-10-24T12:00:00+00:00,2019-10-24T12:00:00+00:00 ~ 2019-10-24T12:00:00+00:00
172,True,2019-10-24 13:00:00+00:00,2019-10-24 13:00:00+00:00,7441.05/7465.98/7434.09/7448,7441.05/7465.98/7434.09/7448,1,1,2019-10-24T13:00:00+00:00 ~ 2019-10-24T13:00:00+00:00,2019-10-24T13:00:00+00:00 ~ 2019-10-24T13:00:00+00:00
173,True,2019-10-24 14:00:00+00:00,2019-10-24 14:00:00+00:00,7448.01/7503.68/7446.88/7466.3,7448.01/7503.68/7446.88/7466.3,1,1,2019-10-24T14:00:00+00:00 ~ 2019-10-24T14:00:00+00:00,2019-10-24T14:00:00+00:00 ~ 2019-10-24T14:00:00+00:00
174,True,2019-10-24 15:00:00+00:00,2019-10-24 15:00:00+00:00,7457.97/7457.97/7413.43/7413.43,7457.97/7457.97/7413.43/7413.43,3,3,2019-10-24T15:00:00+00:00 ~ 2019-10-24T17:00:00+00:00,2019-10-24T15:00:00+00:00 ~ 2019-10-24T17:00:00+00:00
175,True,2019-10-24 18:00:00+00:00,2019-10-24 18:00:00+00:00,7434.21/7457.99/7431.02/7442,7434.21/7457.99/7431.02/7442,1,1,2019-10-24T18:00:00+00:00 ~ 2019-10-24T18:00:00+00:00,2019-10-24T18:00:00+00:00 ~ 2019-10-24T18:00:00+00:00
176,True,2019-10-24 19:00:00+00:00,2019-10-24 19:00:00+00:00,7479/7479/7440/7440,7479/7479/7440/7440,2,2,2019-10-24T19:00:00+00:00 ~ 2019-10-24T20:00:00+00:00,2019-10-24T19:00:00+00:00 ~ 2019-10-24T20:00:00+00:00
177,True,2019-10-24 21:00:00+00:00,2019-10-24 21:00:00+00:00,7441.96/7454/7429.41/7430.34,7441.96/7454/7429.41/7430.34,1,1,2019-10-24T21:00:00+00:00 ~ 2019-10-24T21:00:00+00:00,2019-10-24T21:00:00+00:00 ~ 2019-10-24T21:00:00+00:00
