序号,一致,本项目时间,CZSC时间,本项目类型,CZSC类型,本项目价格,CZSC价格,本项目无包含K序号,CZSC无包含K序号,本项目三K时间,CZSC三K时间
80,True,2019-10-24 11:00:00+00:00,2019-10-24 11:00:00+00:00,底分型,底分型,7413.0,7413.0,170,170,2019-10-24T10:00:00+00:00 | 2019-10-24T11:00:00+00:00 | 2019-10-24T12:00:00+00:00,2019-10-24T10:00:00+00:00 | 2019-10-24T11:00:00+00:00 | 2019-10-24T12:00:00+00:00
81,True,2019-10-24 14:00:00+00:00,2019-10-24 14:00:00+00:00,顶分型,顶分型,7503.68,7503.68,173,173,2019-10-24T13:00:00+00:00 | 2019-10-24T14:00:00+00:00 | 2019-10-24T15:00:00+00:00,2019-10-24T13:00:00+00:00 | 2019-10-24T14:00:00+00:00 | 2019-10-24T15:00:00+00:00
82,True,2019-10-24 15:00:00+00:00,2019-10-24 15:00:00+00:00,底分型,底分型,7413.43,7413.43,174,174,2019-10-24T14:00:00+00:00 | 2019-10-24T15:00:00+00:00 | 2019-10-24T18:00:00+00:00,2019-10-24T14:00:00+00:00 | 2019-10-24T15:00:00+00:00 | 2019-10-24T18:00:00+00:00
83,True,2019-10-24 19:00:00+00:00,2019-10-24 19:00:00+00:00,顶分型,顶分型,7479.0,7479.0,176,176,2019-10-24T18:00:00+00:00 | 2019-10-24T19:00:00+00:00 | 2019-10-24T21:00:00+00:00,2019-10-24T18:00:00+00:00 | 2019-10-24T19:00:00+00:00 | 2019-10-24T21:00:00+00:00
84,True,2019-10-24 21:00:00+00:00,2019-10-24 21:00:00+00:00,底分型,底分型,7429.41,7429.41,177,177,2019-10-24T19:00:00+00:00 | 2019-10-24T21:00:00+00:00 | 2019-10-24T23:00:00+00:00,2019-10-24T19:00:00+00:00 | 2019-10-24T21:00:00+00:00 | 2019-10-24T23:00:00+00:00
85,True,2019-10-24 23:00:00+00:00,2019-10-24 23:00:00+00:00,顶分型,顶分型,7465.75,7465.75,178,178,2019-10-24T21:00:00+00:00 | 2019-10-24T23:00:00+00:00 | 2019-10-25T00:00:00+00:00,2019-10-24T21:00:00+00:00 | 2019-10-24T23:00:00+00:00 | 2019-10-25T00:00:00+00:00
86,True,2019-10-25 00:00:00+00:00,2019-10-25 00:00:00+00:00,底分型,底分型,7411.94,7411.94,179,179,2019-10-24T23:00:00+00:00 | 2019-10-25T00:00:00+00:00 | 2019-10-25T01:00:00+00:00,2019-10-24T23:00:00+00:00 | 2019-10-25T00:00:00+00:00 | 2019-10-25T01:00:00+00:00
87,True,2019-10-25 02:00:00+00:00,2019-10-25 02:00:00+00:00,顶分型,顶分型,7459.29,7459.29,181,181,2019-10-25T01:00:00+00:00 | 2019-10-25T02:00:00+00:00 | 2019-10-25T05:00:00+00:00,2019-10-25T01:00:00+00:00 | 2019-10-25T02:00:00+00:00 | 2019-10-25T05:00:00+00:00
88,True,2019-10-25 05:00:00+00:00,2019-10-25 05:00:00+00:00,底分型,底分型,7361.0,7361.0,182,182,2019-10-25T02:00:00+00:00 | 2019-10-25T05:00:00+00:00 | 2019-10-25T06:00:00+00:00,2019-10-25T02:00:00+00:00 | 2019-10-25T05:00:00+00:00 | 2019-10-25T06:00:00+00:00
89,True,2019-10-25 08:00:00+00:00,2019-10-25 08:00:00+00:00,顶分型,顶分型,7475.0,7475.0,185,185,2019-10-25T07:00:00+00:00 | 2019-10-25T08:00:00+00:00 | 2019-10-25T10:00:00+00:00,2019-10-25T07:00:00+00:00 | 2019-10-25T08:00:00+00:00 | 2019-10-25T10:00:00+00:00
90,True,2019-10-25 10:00:00+00:00,2019-10-25 10:00:00+00:00,底分型,底分型,7439.0,7439.0,186,186,2019-10-25T08:00:00+00:00 | 2019-10-25T10:00:00+00:00 | 2019-10-25T11:00:00+00:00,2019-10-25T08:00:00+00:00 | 2019-10-25T10:00:00+00:00 | 2019-10-25T11:00:00+00:00
91,True,2019-10-25 17:00:00+00:00,2019-10-25 17:00:00+00:00,顶分型,顶分型,8799.0,8799.0,193,193,2019-10-25T16:00:00+00:00 | 2019-10-25T17:00:00+00:00 | 2019-10-25T20:00:00+00:00,2019-10-25T16:00:00+00:00 | 2019-10-25T17:00:00+00:00 | 2019-10-25T20:00:00+00:00
92,True,2019-10-25 20:00:00+00:00,2019-10-25 20:00:00+00:00,底分型,底分型,8535.0,8535.0,194,194,2019-10-25T17:00:00+00:00 | 2019-10-25T20:00:00+00:00 | 2019-10-26T00:00:00+00:00,2019-10-25T17:00:00+00:00 | 2019-10-25T20:00:00+00:00 | 2019-10-26T00:00:00+00:00
93,True,2019-10-26 01:00:00+00:00,2019-10-26 01:00:00+00:00,顶分型,顶分型,10370.0,10370.0,196,196,2019-10-26T00:00:00+00:00 | 2019-10-26T01:00:00+00:00 | 2019-10-26T03:00:00+00:00,2019-10-26T00:00:00+00:00 | 2019-10-26T01:00:00+00:00 | 2019-10-26T03:00:00+00:00
94,True,2019-10-26 03:00:00+00:00,2019-10-26 03:00:00+00:00,底分型,底分型,9415.0,9415.0,197,197,2019-10-26T01:00:00+00:00 | 2019-10-26T03:00:00+00:00 | 2019-10-26T05:00:00+00:00,2019-10-26T01:00:00+00:00 | 2019-10-26T03:00:00+00:00 | 2019-10-26T05:00:00+00:00
95,True,2019-10-26 05:00:00+00:00,2019-10-26 05:00:00+00:00,顶分型,顶分型,9777.0,9777.0,198,198,2019-10-26T03:00:00+00:00 | 2019-10-26T05:00:00+00:00 | 2019-10-26T06:00:00+00:00,2019-10-26T03:00:00+00:00 | 2019-10-26T05:00:00+00:00 | 2019-10-26T06:00:00+00:00
96,True,2019-10-26 09:00:00+00:00,2019-10-26 09:00:00+00:00,底分型,底分型,8970.0,8970.0,201,201,2019-10-26T07:00:00+00:00 | 2019-10-26T09:00:00+00:00 | 2019-10-26T12:00:00+00:00,2019-10-26T07:00:00+00:00 | 2019-10-26T09:00:00+00:00 | 2019-10-26T12:00:00+00:00
97,True,2019-10-26 12:00:00+00:00,2019-10-26 12:00:00+00:00,顶分型,顶分型,9444.44,9444.44,202,202,2019-10-26T09:00:00+00:00 | 2019-10-26T12:00:00+00:00 | 2019-10-26T13:00:00+00:00,2019-10-26T09:00:00+00:00 | 2019-10-26T12:00:00+00:00 | 2019-10-26T13:00:00+00:00
98,True,2019-10-26 14:00:00+00:00,2019-10-26 14:00:00+00:00,底分型,底分型,9051.0,9051.0,204,204,2019-10-26T13:00:00+00:00 | 2019-10-26T14:00:00+00:00 | 2019-10-26T15:00:00+00:00,2019-10-26T13:00:00+00:00 | 2019-10-26T14:00:00+00:00 | 2019-10-26T15:00:00+00:00
99,True,2019-10-26 15:00:00+00:00,2019-10-26 15:00:00+00:00,顶分型,顶分型,9297.76,9297.76,205,205,2019-10-26T14:00:00+00:00 | 2019-10-26T15:00:00+00:00 | 2019-10-26T16:00:00+00:00,2019-10-26T14:00:00+00:00 | 2019-10-26T15:00:00+00:00 | 2019-10-26T16:00:00+00:00
100,True,2019-10-26 18:00:00+00:00,2019-10-26 18:00:00+00:00,底分型,底分型,8855.5,8855.5,207,207,2019-10-26T16:00:00+00:00 | 2019-10-26T18:00:00+00:00 | 2019-10-26T19:00:00+00:00,2019-10-26T16:00:00+00:00 | 2019-10-26T18:00:00+00:00 | 2019-10-26T19:00:00+00:00
101,True,2019-10-27 00:00:00+00:00,2019-10-27 00:00:00+00:00,顶分型,顶分型,9369.8,9369.8,211,211,2019-10-26T23:00:00+00:00 | 2019-10-27T00:00:00+00:00 | 2019-10-27T01:00:00+00:00,2019-10-26T23:00:00+00:00 | 2019-10-27T00:00:00+00:00 | 2019-10-27T01:00:00+00:00
102,True,2019-10-27 01:00:00+00:00,2019-10-27 01:00:00+00:00,底分型,底分型,9096.0,9096.0,212,212,2019-10-27T00:00:00+00:00 | 2019-10-27T01:00:00+00:00 | 2019-10-27T03:00:00+00:00,2019-10-27T00:00:00+00:00 | 2019-10-27T01:00:00+00:00 | 2019-10-27T03:00:00+00:00
103,True,2019-10-27 03:00:00+00:00,2019-10-27 03:00:00+00:00,顶分型,顶分型,9205.21,9205.21,213,213,2019-10-27T01:00:00+00:00 | 2019-10-27T03:00:00+00:00 | 2019-10-27T04:00:00+00:00,2019-10-27T01:00:00+00:00 | 2019-10-27T03:00:00+00:00 | 2019-10-27T04:00:00+00:00
104,True,2019-10-27 04:00:00+00:00,2019-10-27 04:00:00+00:00,底分型,底分型,9074.34,9074.34,214,214,2019-10-27T03:00:00+00:00 | 2019-10-27T04:00:00+00:00 | 2019-10-27T05:00:00+00:00,2019-10-27T03:00:00+00:00 | 2019-10-27T04:00:00+00:00 | 2019-10-27T05:00:00+00:00
105,True,2019-10-27 11:00:00+00:00,2019-10-27 11:00:00+00:00,顶分型,顶分型,9642.99,9642.99,219,219,2019-10-27T09:00:00+00:00 | 2019-10-27T11:00:00+00:00 | 2019-10-27T12:00:00+00:00,2019-10-27T09:00:00+00:00 | 2019-10-27T11:00:00+00:00 | 2019-10-27T12:00:00+00:00
106,True,2019-10-27 12:00:00+00:00,2019-10-27 12:00:00+00:00,底分型,底分型,9211.19,9211.19,220,220,2019-10-27T11:00:00+00:00 | 2019-10-27T12:00:00+00:00 | 2019-10-27T13:00:00+00:00,2019-10-27T11:00:00+00:00 | 2019-10-27T12:00:00+00:00 | 2019-10-27T13:00:00+00:00
107,True,2019-10-27 19:00:00+00:00,2019-10-27 19:00:00+00:00,顶分型,顶分型,9794.98,9794.98,224,224,2019-10-27T16:00:00+00:00 | 2019-10-27T19:00:00+00:00 | 2019-10-27T20:00:00+00:00,2019-10-27T16:00:00+00:00 | 2019-10-27T19:00:00+00:00 | 2019-10-27T20:00:00+00:00
108,True,2019-10-27 23:00:00+00:00,2019-10-27 23:00:00+00:00,底分型,底分型,9420.0,9420.0,227,227,2019-10-27T21:00:00+00:00 | 2019-10-27T23:00:00+00:00 | 2019-10-28T00:00:00+00:00,2019-10-27T21:00:00+00:00 | 2019-10-27T23:00:00+00:00 | 2019-10-28T00:00:00+00:00
109,True,2019-10-28 01:00:00+00:00,2019-10-28 01:00:00+00:00,顶分型,顶分型,9902.1,9902.1,229,229,2019-10-28T00:00:00+00:00 | 2019-10-28T01:00:00+00:00 | 2019-10-28T03:00:00+00:00,2019-10-28T00:00:00+00:00 | 2019-10-28T01:00:00+00:00 | 2019-10-28T03:00:00+00:00
110,True,2019-10-28 04:00:00+00:00,2019-10-28 04:00:00+00:00,底分型,底分型,9525.0,9525.0,231,231,2019-10-28T03:00:00+00:00 | 2019-10-28T04:00:00+00:00 | 2019-10-28T05:00:00+00:00,2019-10-28T03:00:00+00:00 | 2019-10-28T04:00:00+00:00 | 2019-10-28T05:00:00+00:00
111,True,2019-10-28 05:00:00+00:00,2019-10-28 05:00:00+00:00,顶分型,顶分型,9679.26,9679.26,232,232,2019-10-28T04:00:00+00:00 | 2019-10-28T05:00:00+00:00 | 2019-10-28T06:00:00+00:00,2019-10-28T04:00:00+00:00 | 2019-10-28T05:00:00+00:00 | 2019-10-28T06:00:00+00:00
112,True,2019-10-28 08:00:00+00:00,2019-10-28 08:00:00+00:00,底分型,底分型,9265.0,9265.0,234,234,2019-10-28T06:00:00+00:00 | 2019-10-28T08:00:00+00:00 | 2019-10-28T10:00:00+00:00,2019-10-28T06:00:00+00:00 | 2019-10-28T08:00:00+00:00 | 2019-10-28T10:00:00+00:00
113,True,2019-10-28 10:00:00+00:00,2019-10-28 10:00:00+00:00,顶分型,顶分型,9468.75,9468.75,235,235,2019-10-28T08:00:00+00:00 | 2019-10-28T10:00:00+00:00 | 2019-10-28T11:00:00+00:00,2019-10-28T08:00:00+00:00 | 2019-10-28T10:00:00+00:00 | 2019-10-28T11:00:00+00:00
114,True,2019-10-28 12:00:00+00:00,2019-10-28 12:00:00+00:00,底分型,底分型,9254.0,9254.0,237,237,2019-10-28T11:00:00+00:00 | 2019-10-28T12:00:00+00:00 | 2019-10-28T13:00:00+00:00,2019-10-28T11:00:00+00:00 | 2019-10-28T12:00:00+00:00 | 2019-10-28T13:00:00+00:00
115,True,2019-10-28 13:00:00+00:00,2019-10-28 13:00:00+00:00,顶分型,顶分型,9415.0,9415.0,238,238,2019-10-28T12:00:00+00:00 | 2019-10-28T13:00:00+00:00 | 2019-10-28T14:00:00+00:00,2019-10-28T12:00:00+00:00 | 2019-10-28T13:00:00+00:00 | 2019-10-28T14:00:00+00:00
116,True,2019-10-28 14:00:00+00:00,2019-10-28 14:00:00+00:00,底分型,底分型,9292.71,9292.71,239,239,2019-10-28T13:00:00+00:00 | 2019-10-28T14:00:00+00:00 | 2019-10-28T15:00:00+00:00,2019-10-28T13:00:00+00:00 | 2019-10-28T14:00:00+00:00 | 2019-10-28T15:00:00+00:00
117,True,2019-10-28 16:00:00+00:00,2019-10-28 16:00:00+00:00,顶分型,顶分型,9400.0,9400.0,241,241,2019-10-28T15:00:00+00:00 | 2019-10-28T16:00:00+00:00 | 2019-10-28T17:00:00+00:00,2019-10-28T15:00:00+00:00 | 2019-10-28T16:00:00+00:00 | 2019-10-28T17:00:00+00:00
118,True,2019-10-28 17:00:00+00:00,2019-10-28 17:00:00+00:00,底分型,底分型,9320.23,9320.23,242,242,2019-10-28T16:00:00+00:00 | 2019-10-28T17:00:00+00:00 | 2019-10-28T18:00:00+00:00,2019-10-28T16:00:00+00:00 | 2019-10-28T17:00:00+00:00 | 2019-10-28T18:00:00+00:00
119,True,2019-10-28 18:00:00+00:00,2019-10-28 18:00:00+00:00,顶分型,顶分型,9478.93,9478.93,243,243,2019-10-28T17:00:00+00:00 | 2019-10-28T18:00:00+00:00 | 2019-10-28T23:00:00+00:00,2019-10-28T17:00:00+00:00 | 2019-10-28T18:00:00+00:00 | 2019-10-28T23:00:00+00:00
120,True,2019-10-28 23:00:00+00:00,2019-10-28 23:00:00+00:00,底分型,底分型,9160.0,9160.0,244,244,2019-10-28T18:00:00+00:00 | 2019-10-28T23:00:00+00:00 | 2019-10-29T01:00:00+00:00,2019-10-28T18:00:00+00:00 | 2019-10-28T23:00:00+00:00 | 2019-10-29T01:00:00+00:00
121,True,2019-10-29 05:00:00+00:00,2019-10-29 05:00:00+00:00,顶分型,顶分型,9550.0,9550.0,247,247,2019-10-29T04:00:00+00:00 | 2019-10-29T05:00:00+00:00 | 2019-10-29T08:00:00+00:00,2019-10-29T04:00:00+00:00 | 2019-10-29T05:00:00+00:00 | 2019-10-29T08:00:00+00:00
122,True,2019-10-29 09:00:00+00:00,2019-10-29 09:00:00+00:00,底分型,底分型,9351.0,9351.0,249,249,2019-10-29T08:00:00+00:00 | 2019-10-29T09:00:00+00:00 | 2019-10-29T10:00:00+00:00,2019-10-29T08:00:00+00:00 | 2019-10-29T09:00:00+00:00 | 2019-10-29T10:00:00+00:00
123,True,2019-10-29 10:00:00+00:00,2019-10-29 10:00:00+00:00,顶分型,顶分型,9490.1,9490.1,250,250,2019-10-29T09:00:00+00:00 | 2019-10-29T10:00:00+00:00 | 2019-10-29T12:00:00+00:00,2019-10-29T09:00:00+00:00 | 2019-10-29T10:00:00+00:00 | 2019-10-29T12:00:00+00:00
124,True,2019-10-29 16:00:00+00:00,2019-10-29 16:00:00+00:00,底分型,底分型,9256.91,9256.91,253,253,2019-10-29T13:00:00+00:00 | 2019-10-29T16:00:00+00:00 | 2019-10-29T18:00:00+00:00,2019-10-29T13:00:00+00:00 | 2019-10-29T16:00:00+00:00 | 2019-10-29T18:00:00+00:00
125,True,2019-10-29 18:00:00+00:00,2019-10-29 18:00:00+00:00,顶分型,顶分型,9397.0,9397.0,254,254,2019-10-29T16:00:00+00:00 | 2019-10-29T18:00:00+00:00 | 2019-10-29T19:00:00+00:00,2019-10-29T16:00:00+00:00 | 2019-10-29T18:00:00+00:00 | 2019-10-29T19:00:00+00:00
126,True,2019-10-29 19:00:00+00:00,2019-10-29 19:00:00+00:00,底分型,底分型,9072.0,9072.0,255,255,2019-10-29T18:00:00+00:00 | 2019-10-29T19:00:00+00:00 | 2019-10-29T20:00:00+00:00,2019-10-29T18:00:00+00:00 | 2019-10-29T19:00:00+00:00 | 2019-10-29T20:00:00+00:00
127,True,2019-10-29 20:00:00+00:00,2019-10-29 20:00:00+00:00,顶分型,顶分型,9482.0,9482.0,256,256,2019-10-29T19:00:00+00:00 | 2019-10-29T20:00:00+00:00 | 2019-10-29T23:00:00+00:00,2019-10-29T19:00:00+00:00 | 2019-10-29T20:00:00+00:00 | 2019-10-29T23:00:00+00:00
128,True,2019-10-30 00:00:00+00:00,2019-10-30 00:00:00+00:00,底分型,底分型,9245.01,9245.01,258,258,2019-10-29T23:00:00+00:00 | 2019-10-30T00:00:00+00:00 | 2019-10-30T02:00:00+00:00,2019-10-29T23:00:00+00:00 | 2019-10-30T00:00:00+00:00 | 2019-10-30T02:00:00+00:00
129,True,2019-10-30 02:00:00+00:00,2019-10-30 02:00:00+00:00,顶分型,顶分型,9394.84,9394.84,259,259,2019-10-30T00:00:00+00:00 | 2019-10-30T02:00:00+00:00 | 2019-10-30T04:00:00+00:00,2019-10-30T00:00:00+00:00 | 2019-10-30T02:00:00+00:00 | 2019-10-30T04:00:00+00:00
130,True,2019-10-30 07:00:00+00:00,2019-10-30 07:00:00+00:00,底分型,底分型,9151.0,9151.0,261,261,2019-10-30T04:00:00+00:00 | 2019-10-30T07:00:00+00:00 | 2019-10-30T09:00:00+00:00,2019-10-30T04:00:00+00:00 | 2019-10-30T07:00:00+00:00 | 2019-10-30T09:00:00+00:00
131,True,2019-10-30 09:00:00+00:00,2019-10-30 09:00:00+00:00,顶分型,顶分型,9248.79,9248.79,262,262,2019-10-30T07:00:00+00:00 | 2019-10-30T09:00:00+00:00 | 2019-10-30T10:00:00+00:00,2019-10-30T07:00:00+00:00 | 2019-10-30T09:00:00+00:00 | 2019-10-30T10:00:00+00:00
132,True,2019-10-30 11:00:00+00:00,2019-10-30 11:00:00+00:00,底分型,底分型,9018.0,9018.0,264,264,2019-10-30T10:00:00+00:00 | 2019-10-30T11:00:00+00:00 | 2019-10-30T12:00:00+00:00,2019-10-30T10:00:00+00:00 | 2019-10-30T11:00:00+00:00 | 2019-10-30T12:00:00+00:00
133,True,2019-10-30 12:00:00+00:00,2019-10-30 12:00:00+00:00,顶分型,顶分型,9172.41,9172.41,265,265,2019-10-30T11:00:00+00:00 | 2019-10-30T12:00:00+00:00 | 2019-10-30T13:00:00+00:00,2019-10-30T11:00:00+00:00 | 2019-10-30T12:00:00+00:00 | 2019-10-30T13:00:00+00:00
134,True,2019-10-30 15:00:00+00:00,2019-10-30 15:00:00+00:00,底分型,底分型,9001.01,9001.01,267,267,2019-10-30T13:00:00+00:00 | 2019-10-30T15:00:00+00:00 | 2019-10-30T16:00:00+00:00,2019-10-30T13:00:00+00:00 | 2019-10-30T15:00:00+00:00 | 2019-10-30T16:00:00+00:00
135,True,2019-10-30 20:00:00+00:00,2019-10-30 20:00:00+00:00,顶分型,顶分型,9217.33,9217.33,269,269,2019-10-30T16:00:00+00:00 | 2019-10-30T20:00:00+00:00 | 2019-10-30T21:00:00+00:00,2019-10-30T16:00:00+00:00 | 2019-10-30T20:00:00+00:00 | 2019-10-30T21:00:00+00:00
136,True,2019-10-30 21:00:00+00:00,2019-10-30 21:00:00+00:00,底分型,底分型,9128.26,9128.26,270,270,2019-10-30T20:00:00+00:00 | 2019-10-30T21:00:00+00:00 | 2019-10-30T22:00:00+00:00,2019-10-30T20:00:00+00:00 | 2019-10-30T21:00:00+00:00 | 2019-10-30T22:00:00+00:00
137,True,2019-10-30 22:00:00+00:00,2019-10-30 22:00:00+00:00,顶分型,顶分型,9225.0,9225.0,271,271,2019-10-30T21:00:00+00:00 | 2019-10-30T22:00:00+00:00 | 2019-10-31T00:00:00+00:00,2019-10-30T21:00:00+00:00 | 2019-10-30T22:00:00+00:00 | 2019-10-31T00:00:00+00:00
138,True,2019-10-31 02:00:00+00:00,2019-10-31 02:00:00+00:00,底分型,底分型,9051.01,9051.01,274,274,2019-10-31T01:00:00+00:00 | 2019-10-31T02:00:00+00:00 | 2019-10-31T03:00:00+00:00,2019-10-31T01:00:00+00:00 | 2019-10-31T02:00:00+00:00 | 2019-10-31T03:00:00+00:00
139,True,2019-10-31 06:00:00+00:00,2019-10-31 06:00:00+00:00,顶分型,顶分型,9209.0,9209.0,277,277,2019-10-31T05:00:00+00:00 | 2019-10-31T06:00:00+00:00 | 2019-10-31T08:00:00+00:00,2019-10-31T05:00:00+00:00 | 2019-10-31T06:00:00+00:00 | 2019-10-31T08:00:00+00:00
140,True,2019-10-31 10:00:00+00:00,2019-10-31 10:00:00+00:00,底分型,底分型,8913.0,8913.0,280,280,2019-10-31T09:00:00+00:00 | 2019-10-31T10:00:00+00:00 | 2019-10-31T11:00:00+00:00,2019-10-31T09:00:00+00:00 | 2019-10-31T10:00:00+00:00 | 2019-10-31T11:00:00+00:00
141,True,2019-10-31 12:00:00+00:00,2019-10-31 12:00:00+00:00,顶分型,顶分型,9405.0,9405.0,282,282,2019-10-31T11:00:00+00:00 | 2019-10-31T12:00:00+00:00 | 2019-10-31T14:00:00+00:00,2019-10-31T11:00:00+00:00 | 2019-10-31T12:00:00+00:00 | 2019-10-31T14:00:00+00:00
142,True,2019-10-31 15:00:00+00:00,2019-10-31 15:00:00+00:00,底分型,底分型,9180.0,9180.0,284,284,2019-10-31T14:00:00+00:00 | 2019-10-31T15:00:00+00:00 | 2019-10-31T17:00:00+00:00,2019-10-31T14:00:00+00:00 | 2019-10-31T15:00:00+00:00 | 2019-10-31T17:00:00+00:00
143,True,2019-10-31 17:00:00+00:00,2019-10-31 17:00:00+00:00,顶分型,顶分型,9264.04,9264.04,285,285,2019-10-31T15:00:00+00:00 | 2019-10-31T17:00:00+00:00 | 2019-10-31T18:00:00+00:00,2019-10-31T15:00:00+00:00 | 2019-10-31T17:00:00+00:00 | 2019-10-31T18:00:00+00:00
144,True,2019-10-31 21:00:00+00:00,2019-10-31 21:00:00+00:00,底分型,底分型,9013.0,9013.0,288,288,2019-10-31T20:00:00+00:00 | 2019-10-31T21:00:00+00:00 | 2019-11-01T06:00:00+00:00,2019-10-31T20:00:00+00:00 | 2019-10-31T21:00:00+00:00 | 2019-11-01T06:00:00+00:00
145,True,2019-11-01 08:00:00+00:00,2019-11-01 08:00:00+00:00,顶分型,顶分型,9174.99,9174.99,290,290,2019-11-01T06:00:00+00:00 | 2019-11-01T08:00:00+00:00 | 2019-11-01T09:00:00+00:00,2019-11-01T06:00:00+00:00 | 2019-11-01T08:00:00+00:00 | 2019-11-01T09:00:00+00:00
146,True,2019-11-01 09:00:00+00:00,2019-11-01 09:00:00+00:00,底分型,底分型,9088.88,9088.88,291,291,2019-11-01T08:00:00+00:00 | 2019-11-01T09:00:00+00:00 | 2019-11-01T10:00:00+00:00,2019-11-01T08:00:00+00:00 | 2019-11-01T09:00:00+00:00 | 2019-11-01T10:00:00+00:00
147,True,2019-11-01 11:00:00+00:00,2019-11-01 11:00:00+00:00,顶分型,顶分型,9279.0,9279.0,293,293,2019-11-01T10:00:00+00:00 | 2019-11-01T11:00:00+00:00 | 2019-11-01T13:00:00+00:00,2019-11-01T10:00:00+00:00 | 2019-11-01T11:00:00+00:00 | 2019-11-01T13:00:00+00:00
148,True,2019-11-01 13:00:00+00:00,2019-11-01 13:00:00+00:00,底分型,底分型,9061.65,9061.65,294,294,2019-11-01T11:00:00+00:00 | 2019-11-01T13:00:00+00:00 | 2019-11-01T15:00:00+00:00,2019-11-01T11:00:00+00:00 | 2019-11-01T13:00:00+00:00 | 2019-11-01T15:00:00+00:00
149,True,2019-11-01 15:00:00+00:00,2019-11-01 15:00:00+00:00,顶分型,顶分型,9248.51,9248.51,295,295,2019-11-01T13:00:00+00:00 | 2019-11-01T15:00:00+00:00 | 2019-11-01T16:00:00+00:00,2019-11-01T13:00:00+00:00 | 2019-11-01T15:00:00+00:00 | 2019-11-01T16:00:00+00:00
150,True,2019-11-01 16:00:00+00:00,2019-11-01 16:00:00+00:00,底分型,底分型,9060.0,9060.0,296,296,2019-11-01T15:00:00+00:00 | 2019-11-01T16:00:00+00:00 | 2019-11-01T17:00:00+00:00,2019-11-01T15:00:00+00:00 | 2019-11-01T16:00:00+00:00 | 2019-11-01T17:00:00+00:00
151,True,2019-11-01 22:00:00+00:00,2019-11-01 22:00:00+00:00,顶分型,顶分型,9277.16,9277.16,301,301,2019-11-01T21:00:00+00:00 | 2019-11-01T22:00:00+00:00 | 2019-11-02T02:00:00+00:00,2019-11-01T21:00:00+00:00 | 2019-11-01T22:00:00+00:00 | 2019-11-02T02:00:00+00:00
152,True,2019-11-02 02:00:00+00:00,2019-11-02 02:00:00+00:00,底分型,底分型,9209.99,9209.99,302,302,2019-11-01T22:00:00+00:00 | 2019-11-02T02:00:00+00:00 | 2019-11-02T03:00:00+00:00,2019-11-01T22:00:00+00:00 | 2019-11-02T02:00:00+00:00 | 2019-11-02T03:00:00+00:00
153,True,2019-11-02 03:00:00+00:00,2019-11-02 03:00:00+00:00,顶分型,顶分型,9251.01,9251.01,303,303,2019-11-02T02:00:00+00:00 | 2019-11-02T03:00:00+00:00 | 2019-11-02T04:00:00+00:00,2019-11-02T02:00:00+00:00 | 2019-11-02T03:00:00+00:00 | 2019-11-02T04:00:00+00:00
154,True,2019-11-02 06:00:00+00:00,2019-11-02 06:00:00+00:00,底分型,底分型,9186.21,9186.21,306,306,2019-11-02T05:00:00+00:00 | 2019-11-02T06:00:00+00:00 | 2019-11-02T08:00:00+00:00,2019-11-02T05:00:00+00:00 | 2019-11-02T06:00:00+00:00 | 2019-11-02T08:00:00+00:00
155,True,2019-11-02 13:00:00+00:00,2019-11-02 13:00:00+00:00,顶分型,顶分型,9373.74,9373.74,309,309,2019-11-02T12:00:00+00:00 | 2019-11-02T13:00:00+00:00 | 2019-11-02T15:00:00+00:00,2019-11-02T12:00:00+00:00 | 2019-11-02T13:00:00+00:00 | 2019-11-02T15:00:00+00:00
156,True,2019-11-02 15:00:00+00:00,2019-11-02 15:00:00+00:00,底分型,底分型,9273.15,9273.15,310,310,2019-11-02T13:00:00+00:00 | 2019-11-02T15:00:00+00:00 | 2019-11-02T16:00:00+00:00,2019-11-02T13:00:00+00:00 | 2019-11-02T15:00:00+00:00 | 2019-11-02T16:00:00+00:00
157,True,2019-11-02 16:00:00+00:00,2019-11-02 16:00:00+00:00,顶分型,顶分型,9338.81,9338.81,311,311,2019-11-02T15:00:00+00:00 | 2019-11-02T16:00:00+00:00 | 2019-11-02T17:00:00+00:00,2019-11-02T15:00:00+00:00 | 2019-11-02T16:00:00+00:00 | 2019-11-02T17:00:00+00:00
158,True,2019-11-02 18:00:00+00:00,2019-11-02 18:00:00+00:00,底分型,底分型,9264.59,9264.59,313,313,2019-11-02T17:00:00+00:00 | 2019-11-02T18:00:00+00:00 | 2019-11-02T19:00:00+00:00,2019-11-02T17:00:00+00:00 | 2019-11-02T18:00:00+00:00 | 2019-11-02T19:00:00+00:00
159,True,2019-11-02 19:00:00+00:00,2019-11-02 19:00:00+00:00,顶分型,顶分型,9320.0,9320.0,314,314,2019-11-02T18:00:00+00:00 | 2019-11-02T19:00:00+00:00 | 2019-11-02T21:00:00+00:00,2019-11-02T18:00:00+00:00 | 2019-11-02T19:00:00+00:00 | 2019-11-02T21:00:00+00:00
160,True,2019-11-02 22:00:00+00:00,2019-11-02 22:00:00+00:00,底分型,底分型,9270.52,9270.52,316,316,2019-11-02T21:00:00+00:00 | 2019-11-02T22:00:00+00:00 | 2019-11-03T00:00:00+00:00,2019-11-02T21:00:00+00:00 | 2019-11-02T22:00:00+00:00 | 2019-11-03T00:00:00+00:00
