笔序号,方向,起点时间,起点类型,起点价格,终点时间,终点类型,终点价格,无包含K数,内部分型数,价差力度,涨跌幅,原始K起点,原始K终点,内部无包含K时间,内部分型
72,↓ 向下,2026-01-05 01:45:00+00:00,顶分型,111.78572434625978,2026-01-05 02:55:00+00:00,底分型,92.19431604369704,15,2,19.59,-0.1753,2026-01-05 01:40:00+00:00,2026-01-05 03:00:00+00:00,2026-01-05T01:40:00+00:00 | 2026-01-05T01:45:00+00:00 | 2026-01-05T01:55:00+00:00 | 2026-01-05T02:00:00+00:00 | 2026-01-05T02:05:00+00:00 | 2026-01-05T02:10:00+00:00 | 2026-01-05T02:15:00+00:00 | 2026-01-05T02:20:00+00:00 | 2026-01-05T02:25:00+00:00 | 2026-01-05T02:30:00+00:00 | 2026-01-05T02:35:00+00:00 | 2026-01-05T02:40:00+00:00 | 2026-01-05T02:45:00+00:00 | 2026-01-05T02:55:00+00:00 | 2026-01-05T03:00:00+00:00,2026-01-05T01:45:00+00:00:G:111.785724346 | 2026-01-05T02:55:00+00:00:D:92.1943160437
73,↑ 向上,2026-01-05 02:55:00+00:00,底分型,92.19431604369704,2026-01-05 03:20:00+00:00,顶分型,97.35022824378508,8,4,5.16,0.0559,2026-01-05 02:45:00+00:00,2026-01-05 03:25:00+00:00,2026-01-05T02:45:00+00:00 | 2026-01-05T02:55:00+00:00 | 2026-01-05T03:00:00+00:00 | 2026-01-05T03:05:00+00:00 | 2026-01-05T03:10:00+00:00 | 2026-01-05T03:15:00+00:00 | 2026-01-05T03:20:00+00:00 | 2026-01-05T03:25:00+00:00,2026-01-05T02:55:00+00:00:D:92.1943160437 | 2026-01-05T03:00:00+00:00:G:96.2298168002 | 2026-01-05T03:05:00+00:00:D:92.6487737918 | 2026-01-05T03:20:00+00:00:G:97.3502282438
74,↓ 向下,2026-01-05 03:20:00+00:00,顶分型,97.35022824378508,2026-01-05 04:05:00+00:00,底分型,89.45099765756609,8,2,7.9,-0.0811,2026-01-05 03:15:00+00:00,2026-01-05 04:10:00+00:00,2026-01-05T03:15:00+00:00 | 2026-01-05T03:20:00+00:00 | 2026-01-05T03:35:00+00:00 | 2026-01-05T03:40:00+00:00 | 2026-01-05T03:45:00+00:00 | 2026-01-05T03:50:00+00:00 | 2026-01-05T04:05:00+00:00 | 2026-01-05T04:10:00+00:00,2026-01-05T03:20:00+00:00:G:97.3502282438 | 2026-01-05T04:05:00+00:00:D:89.4509976576
75,↑ 向上,2026-01-05 04:05:00+00:00,底分型,89.45099765756609,2026-01-05 06:10:00+00:00,顶分型,110.69626968300722,18,6,21.25,0.2375,2026-01-05 03:50:00+00:00,2026-01-05 06:15:00+00:00,2026-01-05T03:50:00+00:00 | 2026-01-05T04:05:00+00:00 | 2026-01-05T04:10:00+00:00 | 2026-01-05T04:15:00+00:00 | 2026-01-05T04:20:00+00:00 | 2026-01-05T04:25:00+00:00 | 2026-01-05T04:30:00+00:00 | 2026-01-05T04:35:00+00:00 | 2026-01-05T04:40:00+00:00 | 2026-01-05T04:45:00+00:00 | 2026-01-05T04:55:00+00:00 | 2026-01-05T05:30:00+00:00 | 2026-01-05T05:35:00+00:00 | 2026-01-05T05:45:00+00:00 | 2026-01-05T05:50:00+00:00 | 2026-01-05T05:55:00+00:00 | 2026-01-05T06:10:00+00:00 | 2026-01-05T06:15:00+00:00,2026-01-05T04:05:00+00:00:D:89.4509976576 | 2026-01-05T04:55:00+00:00:G:107.417759308 | 2026-01-05T05:30:00+00:00:D:103.222009747 | 2026-01-05T05:35:00+00:00:G:106.806619194 | 2026-01-05T05:45:00+00:00:D:104.109430748 | 2026-01-05T06:10:00+00:00:G:110.696269683
76,↓ 向下,2026-01-05 06:10:00+00:00,顶分型,110.69626968300722,2026-01-05 08:15:00+00:00,底分型,89.84500440008321,21,4,20.85,-0.1884,2026-01-05 05:55:00+00:00,2026-01-05 08:20:00+00:00,2026-01-05T05:55:00+00:00 | 2026-01-05T06:10:00+00:00 | 2026-01-05T06:15:00+00:00 | 2026-01-05T06:20:00+00:00 | 2026-01-05T06:25:00+00:00 | 2026-01-05T06:30:00+00:00 | 2026-01-05T06:35:00+00:00 | 2026-01-05T06:40:00+00:00 | 2026-01-05T06:45:00+00:00 | 2026-01-05T06:50:00+00:00 | 2026-01-05T06:55:00+00:00 | 2026-01-05T07:00:00+00:00 | 2026-01-05T07:05:00+00:00 | 2026-01-05T07:15:00+00:00 | 2026-01-05T07:20:00+00:00 | 2026-01-05T07:25:00+00:00 | 2026-01-05T07:50:00+00:00 | 2026-01-05T07:55:00+00:00 | 2026-01-05T08:00:00+00:00 | 2026-01-05T08:15:00+00:00 | 2026-01-05T08:20:00+00:00,2026-01-05T06:10:00+00:00:G:110.696269683 | 2026-01-05T07:15:00+00:00:D:91.6159867768 | 2026-01-05T07:25:00+00:00:G:97.4189806476 | 2026-01-05T08:15:00+00:00:D:89.8450044001
77,↑ 向上,2026-01-05 08:15:00+00:00,底分型,89.84500440008321,2026-01-05 09:15:00+00:00,顶分型,108.89928782046144,14,2,19.05,0.2121,2026-01-05 08:00:00+00:00,2026-01-05 09:25:00+00:00,2026-01-05T08:00:00+00:00 | 2026-01-05T08:15:00+00:00 | 2026-01-05T08:20:00+00:00 | 2026-01-05T08:25:00+00:00 | 2026-01-05T08:30:00+00:00 | 2026-01-05T08:35:00+00:00 | 2026-01-05T08:40:00+00:00 | 2026-01-05T08:45:00+00:00 | 2026-01-05T08:50:00+00:00 | 2026-01-05T08:55:00+00:00 | 2026-01-05T09:00:00+00:00 | 2026-01-05T09:05:00+00:00 | 2026-01-05T09:15:00+00:00 | 2026-01-05T09:25:00+00:00,2026-01-05T08:15:00+00:00:D:89.8450044001 | 2026-01-05T09:15:00+00:00:G:108.89928782
78,↓ 向下,2026-01-05 09:15:00+00:00,顶分型,108.89928782046144,2026-01-05 09:40:00+00:00,底分型,102.68064018510798,6,2,6.22,-0.0571,2026-01-05 09:05:00+00:00,2026-01-05 09:45:00+00:00,2026-01-05T09:05:00+00:00 | 2026-01-05T09:15:00+00:00 | 2026-01-05T09:25:00+00:00 | 2026-01-05T09:30:00+00:00 | 2026-01-05T09:40:00+00:00 | 2026-01-05T09:45:00+00:00,2026-01-05T09:15:00+00:00:G:108.89928782 | 2026-01-05T09:40:00+00:00:D:102.680640185
79,↑ 向上,2026-01-05 09:40:00+00:00,底分型,102.68064018510798,2026-01-05 10:15:00+00:00,顶分型,110.75438145810709,8,4,8.07,0.0786,2026-01-05 09:30:00+00:00,2026-01-05 10:20:00+00:00,2026-01-05T09:30:00+00:00 | 2026-01-05T09:40:00+00:00 | 2026-01-05T09:45:00+00:00 | 2026-01-05T09:55:00+00:00 | 2026-01-05T10:00:00+00:00 | 2026-01-05T10:05:00+00:00 | 2026-01-05T10:15:00+00:00 | 2026-01-05T10:20:00+00:00,2026-01-05T09:40:00+00:00:D:102.680640185 | 2026-01-05T09:45:00+00:00:G:107.146649742 | 2026-01-05T09:55:00+00:00:D:104.092000244 | 2026-01-05T10:15:00+00:00:G:110.754381458
80,↓ 向下,2026-01-05 10:15:00+00:00,顶分型,110.75438145810709,2026-01-05 12:15:00+00:00,底分型,90.41078147396594,22,4,20.34,-0.1837,2026-01-05 10:05:00+00:00,2026-01-05 12:30:00+00:00,2026-01-05T10:05:00+00:00 | 2026-01-05T10:15:00+00:00 | 2026-01-05T10:20:00+00:00 | 2026-01-05T10:25:00+00:00 | 2026-01-05T10:30:00+00:00 | 2026-01-05T10:35:00+00:00 | 2026-01-05T10:40:00+00:00 | 2026-01-05T10:45:00+00:00 | 2026-01-05T10:50:00+00:00 | 2026-01-05T10:55:00+00:00 | 2026-01-05T11:00:00+00:00 | 2026-01-05T11:05:00+00:00 | 2026-01-05T11:20:00+00:00 | 2026-01-05T11:30:00+00:00 | 2026-01-05T11:35:00+00:00 | 2026-01-05T11:45:00+00:00 | 2026-01-05T11:55:00+00:00 | 2026-01-05T12:00:00+00:00 | 2026-01-05T12:05:00+00:00 | 2026-01-05T12:10:00+00:00 | 2026-01-05T12:15:00+00:00 | 2026-01-05T12:30:00+00:00,2026-01-05T10:15:00+00:00:G:110.754381458 | 2026-01-05T11:20:00+00:00:D:91.5566026386 | 2026-01-05T11:35:00+00:00:G:96.397243667 | 2026-01-05T12:15:00+00:00:D:90.410781474
81,↑ 向上,2026-01-05 12:15:00+00:00,底分型,90.41078147396594,2026-01-05 13:30:00+00:00,顶分型,109.09960292921683,13,2,18.69,0.2067,2026-01-05 12:10:00+00:00,2026-01-05 13:35:00+00:00,2026-01-05T12:10:00+00:00 | 2026-01-05T12:15:00+00:00 | 2026-01-05T12:40:00+00:00 | 2026-01-05T12:45:00+00:00 | 2026-01-05T12:50:00+00:00 | 2026-01-05T12:55:00+00:00 | 2026-01-05T13:00:00+00:00 | 2026-01-05T13:05:00+00:00 | 2026-01-05T13:10:00+00:00 | 2026-01-05T13:15:00+00:00 | 2026-01-05T13:20:00+00:00 | 2026-01-05T13:30:00+00:00 | 2026-01-05T13:35:00+00:00,2026-01-05T12:15:00+00:00:D:90.410781474 | 2026-01-05T13:30:00+00:00:G:109.099602929
82,↓ 向下,2026-01-05 13:30:00+00:00,顶分型,109.09960292921683,2026-01-05 13:50:00+00:00,底分型,103.43732071905583,6,2,5.66,-0.0519,2026-01-05 13:20:00+00:00,2026-01-05 14:00:00+00:00,2026-01-05T13:20:00+00:00 | 2026-01-05T13:30:00+00:00 | 2026-01-05T13:35:00+00:00 | 2026-01-05T13:40:00+00:00 | 2026-01-05T13:50:00+00:00 | 2026-01-05T14:00:00+00:00,2026-01-05T13:30:00+00:00:G:109.099602929 | 2026-01-05T13:50:00+00:00:D:103.437320719
83,↑ 向上,2026-01-05 13:50:00+00:00,底分型,103.43732071905583,2026-01-05 14:25:00+00:00,顶分型,109.78867272086906,8,2,6.35,0.0614,2026-01-05 13:40:00+00:00,2026-01-05 14:30:00+00:00,2026-01-05T13:40:00+00:00 | 2026-01-05T13:50:00+00:00 | 2026-01-05T14:00:00+00:00 | 2026-01-05T14:10:00+00:00 | 2026-01-05T14:15:00+00:00 | 2026-01-05T14:20:00+00:00 | 2026-01-05T14:25:00+00:00 | 2026-01-05T14:30:00+00:00,2026-01-05T13:50:00+00:00:D:103.437320719 | 2026-01-05T14:25:00+00:00:G:109.788672721
84,↓ 向下,2026-01-05 14:25:00+00:00,顶分型,109.78867272086906,2026-01-05 16:25:00+00:00,底分型,90.39620611770233,21,4,19.39,-0.1766,2026-01-05 14:20:00+00:00,2026-01-05 16:30:00+00:00,2026-01-05T14:20:00+00:00 | 2026-01-05T14:25:00+00:00 | 2026-01-05T14:35:00+00:00 | 2026-01-05T14:40:00+00:00 | 2026-01-05T14:45:00+00:00 | 2026-01-05T14:50:00+00:00 | 2026-01-05T14:55:00+00:00 | 2026-01-05T15:00:00+00:00 | 2026-01-05T15:05:00+00:00 | 2026-01-05T15:10:00+00:00 | 2026-01-05T15:15:00+00:00 | 2026-01-05T15:20:00+00:00 | 2026-01-05T15:25:00+00:00 | 2026-01-05T15:30:00+00:00 | 2026-01-05T15:45:00+00:00 | 2026-01-05T15:50:00+00:00 | 2026-01-05T15:55:00+00:00 | 2026-01-05T16:10:00+00:00 | 2026-01-05T16:20:00+00:00 | 2026-01-05T16:25:00+00:00 | 2026-01-05T16:30:00+00:00,2026-01-05T14:25:00+00:00:G:109.788672721 | 2026-01-05T15:45:00+00:00:D:90.6880542963 | 2026-01-05T15:55:00+00:00:G:96.6171263562 | 2026-01-05T16:25:00+00:00:D:90.3962061177
85,↑ 向上,2026-01-05 16:25:00+00:00,底分型,90.39620611770233,2026-01-05 17:45:00+00:00,顶分型,109.50605311626458,16,4,19.11,0.2114,2026-01-05 16:20:00+00:00,2026-01-05 17:50:00+00:00,2026-01-05T16:20:00+00:00 | 2026-01-05T16:25:00+00:00 | 2026-01-05T16:30:00+00:00 | 2026-01-05T16:40:00+00:00 | 2026-01-05T16:45:00+00:00 | 2026-01-05T16:50:00+00:00 | 2026-01-05T16:55:00+00:00 | 2026-01-05T17:00:00+00:00 | 2026-01-05T17:05:00+00:00 | 2026-01-05T17:10:00+00:00 | 2026-01-05T17:15:00+00:00 | 2026-01-05T17:20:00+00:00 | 2026-01-05T17:25:00+00:00 | 2026-01-05T17:30:00+00:00 | 2026-01-05T17:45:00+00:00 | 2026-01-05T17:50:00+00:00,2026-01-05T16:25:00+00:00:D:90.3962061177 | 2026-01-05T16:30:00+00:00:G:94.3418185242 | 2026-01-05T16:40:00+00:00:D:91.0589067488 | 2026-01-05T17:45:00+00:00:G:109.506053116
86,↓ 向下,2026-01-05 17:45:00+00:00,顶分型,109.50605311626458,2026-01-05 18:15:00+00:00,底分型,102.9000145133297,8,2,6.61,-0.0603,2026-01-05 17:30:00+00:00,2026-01-05 18:20:00+00:00,2026-01-05T17:30:00+00:00 | 2026-01-05T17:45:00+00:00 | 2026-01-05T17:50:00+00:00 | 2026-01-05T17:55:00+00:00 | 2026-01-05T18:00:00+00:00 | 2026-01-05T18:10:00+00:00 | 2026-01-05T18:15:00+00:00 | 2026-01-05T18:20:00+00:00,2026-01-05T17:45:00+00:00:G:109.506053116 | 2026-01-05T18:15:00+00:00:D:102.900014513
87,↑ 向上,2026-01-05 18:15:00+00:00,底分型,102.9000145133297,2026-01-05 18:50:00+00:00,顶分型,109.58597942759285,9,4,6.69,0.065,2026-01-05 18:05:00+00:00,2026-01-05 18:55:00+00:00,2026-01-05T18:10:00+00:00 | 2026-01-05T18:15:00+00:00 | 2026-01-05T18:20:00+00:00 | 2026-01-05T18:25:00+00:00 | 2026-01-05T18:30:00+00:00 | 2026-01-05T18:35:00+00:00 | 2026-01-05T18:40:00+00:00 | 2026-01-05T18:50:00+00:00 | 2026-01-05T18:55:00+00:00,2026-01-05T18:15:00+00:00:D:102.900014513 | 2026-01-05T18:35:00+00:00:G:109.5236945 | 2026-01-05T18:40:00+00:00:D:105.964346769 | 2026-01-05T18:50:00+00:00:G:109.585979428
88,↓ 向下,2026-01-05 18:50:00+00:00,顶分型,109.58597942759285,2026-01-05 19:50:00+00:00,底分型,90.76010984605865,14,2,18.83,-0.1718,2026-01-05 18:40:00+00:00,2026-01-05 19:55:00+00:00,2026-01-05T18:40:00+00:00 | 2026-01-05T18:50:00+00:00 | 2026-01-05T18:55:00+00:00 | 2026-01-05T19:00:00+00:00 | 2026-01-05T19:05:00+00:00 | 2026-01-05T19:10:00+00:00 | 2026-01-05T19:15:00+00:00 | 2026-01-05T19:20:00+00:00 | 2026-01-05T19:25:00+00:00 | 2026-01-05T19:30:00+00:00 | 2026-01-05T19:35:00+00:00 | 2026-01-05T19:45:00+00:00 | 2026-01-05T19:50:00+00:00 | 2026-01-05T19:55:00+00:00,2026-01-05T18:50:00+00:00:G:109.585979428 | 2026-01-05T19:50:00+00:00:D:90.7601098461
89,↑ 向上,2026-01-05 19:50:00+00:00,底分型,90.76010984605865,2026-01-05 20:10:00+00:00,顶分型,97.0428484168064,6,2,6.28,0.0692,2026-01-05 19:40:00+00:00,2026-01-05 20:20:00+00:00,2026-01-05T19:45:00+00:00 | 2026-01-05T19:50:00+00:00 | 2026-01-05T19:55:00+00:00 | 2026-01-05T20:00:00+00:00 | 2026-01-05T20:10:00+00:00 | 2026-01-05T20:20:00+00:00,2026-01-05T19:50:00+00:00:D:90.7601098461 | 2026-01-05T20:10:00+00:00:G:97.0428484168
90,↓ 向下,2026-01-05 20:10:00+00:00,顶分型,97.0428484168064,2026-01-05 20:50:00+00:00,底分型,90.2680776456478,8,4,6.77,-0.0698,2026-01-05 20:00:00+00:00,2026-01-05 20:55:00+00:00,2026-01-05T20:00:00+00:00 | 2026-01-05T20:10:00+00:00 | 2026-01-05T20:20:00+00:00 | 2026-01-05T20:30:00+00:00 | 2026-01-05T20:35:00+00:00 | 2026-01-05T20:40:00+00:00 | 2026-01-05T20:50:00+00:00 | 2026-01-05T20:55:00+00:00,2026-01-05T20:10:00+00:00:G:97.0428484168 | 2026-01-05T20:20:00+00:00:D:93.4524005333 | 2026-01-05T20:30:00+00:00:G:96.0538974048 | 2026-01-05T20:50:00+00:00:D:90.2680776456
91,↑ 向上,2026-01-05 20:50:00+00:00,底分型,90.2680776456478,2026-01-05 21:55:00+00:00,顶分型,110.28541616901181,13,2,20.02,0.2218,2026-01-05 20:40:00+00:00,2026-01-05 22:00:00+00:00,2026-01-05T20:40:00+00:00 | 2026-01-05T20:50:00+00:00 | 2026-01-05T21:05:00+00:00 | 2026-01-05T21:15:00+00:00 | 2026-01-05T21:20:00+00:00 | 2026-01-05T21:25:00+00:00 | 2026-01-05T21:30:00+00:00 | 2026-01-05T21:35:00+00:00 | 2026-01-05T21:40:00+00:00 | 2026-01-05T21:45:00+00:00 | 2026-01-05T21:50:00+00:00 | 2026-01-05T21:55:00+00:00 | 2026-01-05T22:00:00+00:00,2026-01-05T20:50:00+00:00:D:90.2680776456 | 2026-01-05T21:55:00+00:00:G:110.285416169
92,↓ 向下,2026-01-05 21:55:00+00:00,顶分型,110.28541616901181,2026-01-05 22:35:00+00:00,底分型,103.08437317120303,8,2,7.2,-0.0653,2026-01-05 21:50:00+00:00,2026-01-05 22:40:00+00:00,2026-01-05T21:50:00+00:00 | 2026-01-05T21:55:00+00:00 | 2026-01-05T22:00:00+00:00 | 2026-01-05T22:05:00+00:00 | 2026-01-05T22:15:00+00:00 | 2026-01-05T22:30:00+00:00 | 2026-01-05T22:35:00+00:00 | 2026-01-05T22:40:00+00:00,2026-01-05T21:55:00+00:00:G:110.285416169 | 2026-01-05T22:35:00+00:00:D:103.084373171
93,↑ 向上,2026-01-05 22:35:00+00:00,底分型,103.08437317120303,2026-01-05 22:50:00+00:00,顶分型,108.89866203851446,6,2,5.81,0.0564,2026-01-05 22:20:00+00:00,2026-01-05 23:00:00+00:00,2026-01-05T22:30:00+00:00 | 2026-01-05T22:35:00+00:00 | 2026-01-05T22:40:00+00:00 | 2026-01-05T22:45:00+00:00 | 2026-01-05T22:50:00+00:00 | 2026-01-05T23:00:00+00:00,2026-01-05T22:35:00+00:00:D:103.084373171 | 2026-01-05T22:50:00+00:00:G:108.898662039
94,↓ 向下,2026-01-05 22:50:00+00:00,顶分型,108.89866203851446,2026-01-06 00:05:00+00:00,底分型,89.8845761521106,14,2,19.01,-0.1746,2026-01-05 22:45:00+00:00,2026-01-06 00:10:00+00:00,2026-01-05T22:45:00+00:00 | 2026-01-05T22:50:00+00:00 | 2026-01-05T23:00:00+00:00 | 2026-01-05T23:10:00+00:00 | 2026-01-05T23:15:00+00:00 | 2026-01-05T23:20:00+00:00 | 2026-01-05T23:25:00+00:00 | 2026-01-05T23:30:00+00:00 | 2026-01-05T23:35:00+00:00 | 2026-01-05T23:40:00+00:00 | 2026-01-05T23:45:00+00:00 | 2026-01-05T23:50:00+00:00 | 2026-01-06T00:05:00+00:00 | 2026-01-06T00:10:00+00:00,2026-01-05T22:50:00+00:00:G:108.898662039 | 2026-01-06T00:05:00+00:00:D:89.8845761521
95,↑ 向上,2026-01-06 00:05:00+00:00,底分型,89.8845761521106,2026-01-06 00:30:00+00:00,顶分型,96.51894439096942,7,2,6.63,0.0738,2026-01-05 23:50:00+00:00,2026-01-06 00:35:00+00:00,2026-01-05T23:50:00+00:00 | 2026-01-06T00:05:00+00:00 | 2026-01-06T00:10:00+00:00 | 2026-01-06T00:15:00+00:00 | 2026-01-06T00:20:00+00:00 | 2026-01-06T00:30:00+00:00 | 2026-01-06T00:35:00+00:00,2026-01-06T00:05:00+00:00:D:89.8845761521 | 2026-01-06T00:30:00+00:00:G:96.518944391
96,↓ 向下,2026-01-06 00:30:00+00:00,顶分型,96.51894439096942,2026-01-06 01:05:00+00:00,底分型,91.32404314543497,9,6,5.19,-0.0538,2026-01-06 00:20:00+00:00,2026-01-06 01:10:00+00:00,2026-01-06T00:20:00+00:00 | 2026-01-06T00:30:00+00:00 | 2026-01-06T00:35:00+00:00 | 2026-01-06T00:40:00+00:00 | 2026-01-06T00:45:00+00:00 | 2026-01-06T00:55:00+00:00 | 2026-01-06T01:00:00+00:00 | 2026-01-06T01:05:00+00:00 | 2026-01-06T01:10:00+00:00,2026-01-06T00:30:00+00:00:G:96.518944391 | 2026-01-06T00:35:00+00:00:D:93.0408600895 | 2026-01-06T00:40:00+00:00:G:95.8276833722 | 2026-01-06T00:45:00+00:00:D:92.0745180874 | 2026-01-06T00:55:00+00:00:G:95.502947099 | 2026-01-06T01:05:00+00:00:D:91.3240431454
97,↑ 向上,2026-01-06 01:05:00+00:00,底分型,91.32404314543497,2026-01-06 02:10:00+00:00,顶分型,110.50734880882763,15,2,19.18,0.2101,2026-01-06 01:00:00+00:00,2026-01-06 02:15:00+00:00,2026-01-06T01:00:00+00:00 | 2026-01-06T01:05:00+00:00 | 2026-01-06T01:10:00+00:00 | 2026-01-06T01:15:00+00:00 | 2026-01-06T01:25:00+00:00 | 2026-01-06T01:30:00+00:00 | 2026-01-06T01:35:00+00:00 | 2026-01-06T01:40:00+00:00 | 2026-01-06T01:45:00+00:00 | 2026-01-06T01:50:00+00:00 | 2026-01-06T01:55:00+00:00 | 2026-01-06T02:00:00+00:00 | 2026-01-06T02:05:00+00:00 | 2026-01-06T02:10:00+00:00 | 2026-01-06T02:15:00+00:00,2026-01-06T01:05:00+00:00:D:91.3240431454 | 2026-01-06T02:10:00+00:00:G:110.507348809
98,↓ 向下,2026-01-06 02:10:00+00:00,顶分型,110.50734880882763,2026-01-06 04:10:00+00:00,底分型,89.09027014789126,19,6,21.42,-0.1938,2026-01-06 02:05:00+00:00,2026-01-06 04:20:00+00:00,2026-01-06T02:05:00+00:00 | 2026-01-06T02:10:00+00:00 | 2026-01-06T02:30:00+00:00 | 2026-01-06T02:35:00+00:00 | 2026-01-06T02:45:00+00:00 | 2026-01-06T02:50:00+00:00 | 2026-01-06T02:55:00+00:00 | 2026-01-06T03:10:00+00:00 | 2026-01-06T03:20:00+00:00 | 2026-01-06T03:30:00+00:00 | 2026-01-06T03:35:00+00:00 | 2026-01-06T03:40:00+00:00 | 2026-01-06T03:45:00+00:00 | 2026-01-06T03:50:00+00:00 | 2026-01-06T03:55:00+00:00 | 2026-01-06T04:00:00+00:00 | 2026-01-06T04:05:00+00:00 | 2026-01-06T04:10:00+00:00 | 2026-01-06T04:20:00+00:00,2026-01-06T02:10:00+00:00:G:110.507348809 | 2026-01-06T02:35:00+00:00:D:102.960371494 | 2026-01-06T02:45:00+00:00:G:106.181492859 | 2026-01-06T02:50:00+00:00:D:102.668803537 | 2026-01-06T03:10:00+00:00:G:108.086104217 | 2026-01-06T04:10:00+00:00:D:89.0902701479
99,↑ 向上,2026-01-06 04:10:00+00:00,底分型,89.09027014789126,2026-01-06 04:50:00+00:00,顶分型,97.18815515559982,9,2,8.1,0.0909,2026-01-06 04:05:00+00:00,2026-01-06 04:55:00+00:00,2026-01-06T04:05:00+00:00 | 2026-01-06T04:10:00+00:00 | 2026-01-06T04:20:00+00:00 | 2026-01-06T04:25:00+00:00 | 2026-01-06T04:30:00+00:00 | 2026-01-06T04:35:00+00:00 | 2026-01-06T04:40:00+00:00 | 2026-01-06T04:50:00+00:00 | 2026-01-06T04:55:00+00:00,2026-01-06T04:10:00+00:00:D:89.0902701479 | 2026-01-06T04:50:00+00:00:G:97.1881551556
100,↓ 向下,2026-01-06 04:50:00+00:00,顶分型,97.18815515559982,2026-01-06 05:25:00+00:00,底分型,91.6246737202856,8,6,5.56,-0.0572,2026-01-06 04:40:00+00:00,2026-01-06 05:30:00+00:00,2026-01-06T04:40:00+00:00 | 2026-01-06T04:50:00+00:00 | 2026-01-06T04:55:00+00:00 | 2026-01-06T05:00:00+00:00 | 2026-01-06T05:05:00+00:00 | 2026-01-06T05:15:00+00:00 | 2026-01-06T05:25:00+00:00 | 2026-01-06T05:30:00+00:00,2026-01-06T04:50:00+00:00:G:97.1881551556 | 2026-01-06T04:55:00+00:00:D:93.0110127811 | 2026-01-06T05:00:00+00:00:G:96.5598225363 | 2026-01-06T05:05:00+00:00:D:92.517998294 | 2026-01-06T05:15:00+00:00:G:95.847704954 | 2026-01-06T05:25:00+00:00:D:91.6246737203
101,↑ 向上,2026-01-06 05:25:00+00:00,底分型,91.6246737202856,2026-01-06 06:25:00+00:00,顶分型,110.85617700414113,15,4,19.23,0.2099,2026-01-06 05:15:00+00:00,2026-01-06 06:30:00+00:00,2026-01-06T05:15:00+00:00 | 2026-01-06T05:25:00+00:00 | 2026-01-06T05:30:00+00:00 | 2026-01-06T05:35:00+00:00 | 2026-01-06T05:40:00+00:00 | 2026-01-06T05:45:00+00:00 | 2026-01-06T05:50:00+00:00 | 2026-01-06T05:55:00+00:00 | 2026-01-06T06:00:00+00:00 | 2026-01-06T06:05:00+00:00 | 2026-01-06T06:10:00+00:00 | 2026-01-06T06:15:00+00:00 | 2026-01-06T06:20:00+00:00 | 2026-01-06T06:25:00+00:00 | 2026-01-06T06:30:00+00:00,2026-01-06T05:25:00+00:00:D:91.6246737203 | 2026-01-06T06:15:00+00:00:G:110.376607783 | 2026-01-06T06:20:00+00:00:D:107.61837792 | 2026-01-06T06:25:00+00:00:G:110.856177004
102,↓ 向下,2026-01-06 06:25:00+00:00,顶分型,110.85617700414113,2026-01-06 08:30:00+00:00,底分型,89.55395074434,23,4,21.3,-0.1922,2026-01-06 06:20:00+00:00,2026-01-06 08:35:00+00:00,2026-01-06T06:20:00+00:00 | 2026-01-06T06:25:00+00:00 | 2026-01-06T06:30:00+00:00 | 2026-01-06T06:35:00+00:00 | 2026-01-06T06:40:00+00:00 | 2026-01-06T06:45:00+00:00 | 2026-01-06T06:50:00+00:00 | 2026-01-06T06:55:00+00:00 | 2026-01-06T07:05:00+00:00 | 2026-01-06T07:10:00+00:00 | 2026-01-06T07:30:00+00:00 | 2026-01-06T07:35:00+00:00 | 2026-01-06T07:40:00+00:00 | 2026-01-06T07:45:00+00:00 | 2026-01-06T07:50:00+00:00 | 2026-01-06T07:55:00+00:00 | 2026-01-06T08:00:00+00:00 | 2026-01-06T08:05:00+00:00 | 2026-01-06T08:10:00+00:00 | 2026-01-06T08:15:00+00:00 | 2026-01-06T08:20:00+00:00 | 2026-01-06T08:30:00+00:00 | 2026-01-06T08:35:00+00:00,2026-01-06T06:25:00+00:00:G:110.856177004 | 2026-01-06T06:55:00+00:00:D:103.519810403 | 2026-01-06T07:10:00+00:00:G:107.495392724 | 2026-01-06T08:30:00+00:00:D:89.5539507443
