线段序号,方向,起点时间,起点类型,起点价格,终点时间,终点类型,终点价格,内部笔数,确认方式,初始主特征分型有缺口,端点是否迁移,确认发生笔位置,价差力度,涨跌幅,原始K起点,原始K终点,内部笔序号,内部笔端点
37,↓ 向下,2026-01-12 09:15:00+00:00,顶分型,112.708175080453,2026-01-12 19:45:00+00:00,底分型,87.00406698675793,5,NO_GAP,False,False,235,25.7,-0.2281,2026-01-12 09:10:00+00:00,2026-01-12 19:55:00+00:00,224 | 225 | 226 | 227 | 228,2026-01-12T09:15:00+00:00->2026-01-12T11:25:00+00:00 | 2026-01-12T11:25:00+00:00->2026-01-12T13:20:00+00:00 | 2026-01-12T13:20:00+00:00->2026-01-12T15:35:00+00:00 | 2026-01-12T15:35:00+00:00->2026-01-12T17:45:00+00:00 | 2026-01-12T17:45:00+00:00->2026-01-12T19:45:00+00:00
38,↑ 向上,2026-01-12 19:45:00+00:00,底分型,87.00406698675793,2026-01-13 06:25:00+00:00,顶分型,113.01246789158424,7,NO_GAP,False,False,242,26.01,0.2989,2026-01-12 19:40:00+00:00,2026-01-13 06:35:00+00:00,229 | 230 | 231 | 232 | 233 | 234 | 235,2026-01-12T19:45:00+00:00->2026-01-12T22:00:00+00:00 | 2026-01-12T22:00:00+00:00->2026-01-12T23:55:00+00:00 | 2026-01-12T23:55:00+00:00->2026-01-13T02:10:00+00:00 | 2026-01-13T02:10:00+00:00->2026-01-13T04:25:00+00:00 | 2026-01-13T04:25:00+00:00->2026-01-13T05:20:00+00:00 | 2026-01-13T05:20:00+00:00->2026-01-13T05:40:00+00:00 | 2026-01-13T05:40:00+00:00->2026-01-13T06:25:00+00:00
39,↓ 向下,2026-01-13 06:25:00+00:00,顶分型,113.01246789158424,2026-01-13 16:50:00+00:00,底分型,87.79254955991993,7,NO_GAP,False,False,245,25.22,-0.2232,2026-01-13 06:15:00+00:00,2026-01-13 17:10:00+00:00,236 | 237 | 238 | 239 | 240 | 241 | 242,2026-01-13T06:25:00+00:00->2026-01-13T08:35:00+00:00 | 2026-01-13T08:35:00+00:00->2026-01-13T10:30:00+00:00 | 2026-01-13T10:30:00+00:00->2026-01-13T12:45:00+00:00 | 2026-01-13T12:45:00+00:00->2026-01-13T13:40:00+00:00 | 2026-01-13T13:40:00+00:00->2026-01-13T14:05:00+00:00 | 2026-01-13T14:05:00+00:00->2026-01-13T14:50:00+00:00 | 2026-01-13T14:50:00+00:00->2026-01-13T16:50:00+00:00
40,↑ 向上,2026-01-13 16:50:00+00:00,底分型,87.79254955991993,2026-01-13 19:00:00+00:00,顶分型,112.65145456666403,3,NO_GAP,False,False,254,24.86,0.2832,2026-01-13 16:45:00+00:00,2026-01-13 19:10:00+00:00,243 | 244 | 245,2026-01-13T16:50:00+00:00->2026-01-13T17:50:00+00:00 | 2026-01-13T17:50:00+00:00->2026-01-13T18:20:00+00:00 | 2026-01-13T18:20:00+00:00->2026-01-13T19:00:00+00:00
41,↓ 向下,2026-01-13 19:00:00+00:00,顶分型,112.65145456666403,2026-01-14 09:50:00+00:00,底分型,88.65825947904035,9,NO_GAP,False,False,257,23.99,-0.213,2026-01-13 18:40:00+00:00,2026-01-14 09:55:00+00:00,246 | 247 | 248 | 249 | 250 | 251 | 252 | 253 | 254,2026-01-13T19:00:00+00:00->2026-01-13T21:10:00+00:00 | 2026-01-13T21:10:00+00:00->2026-01-13T23:30:00+00:00 | 2026-01-13T23:30:00+00:00->2026-01-14T01:30:00+00:00 | 2026-01-14T01:30:00+00:00->2026-01-14T03:25:00+00:00 | 2026-01-14T03:25:00+00:00->2026-01-14T05:40:00+00:00 | 2026-01-14T05:40:00+00:00->2026-01-14T07:45:00+00:00 | 2026-01-14T07:45:00+00:00->2026-01-14T08:50:00+00:00 | 2026-01-14T08:50:00+00:00->2026-01-14T09:15:00+00:00 | 2026-01-14T09:15:00+00:00->2026-01-14T09:50:00+00:00
42,↑ 向上,2026-01-14 09:50:00+00:00,底分型,88.65825947904035,2026-01-14 12:00:00+00:00,顶分型,110.54883416216087,3,NO_GAP,False,False,260,21.89,0.2469,2026-01-14 09:45:00+00:00,2026-01-14 12:10:00+00:00,255 | 256 | 257,2026-01-14T09:50:00+00:00->2026-01-14T10:50:00+00:00 | 2026-01-14T10:50:00+00:00->2026-01-14T11:20:00+00:00 | 2026-01-14T11:20:00+00:00->2026-01-14T12:00:00+00:00
43,↓ 向下,2026-01-14 12:00:00+00:00,顶分型,110.54883416216087,2026-01-14 14:10:00+00:00,底分型,88.87646074428991,3,NO_GAP,False,False,263,21.67,-0.196,2026-01-14 11:50:00+00:00,2026-01-14 14:15:00+00:00,258 | 259 | 260,2026-01-14T12:00:00+00:00->2026-01-14T13:15:00+00:00 | 2026-01-14T13:15:00+00:00->2026-01-14T13:30:00+00:00 | 2026-01-14T13:30:00+00:00->2026-01-14T14:10:00+00:00
44,↑ 向上,2026-01-14 14:10:00+00:00,底分型,88.87646074428991,2026-01-14 16:10:00+00:00,顶分型,110.59159920432657,3,NO_GAP,False,False,268,21.72,0.2443,2026-01-14 14:05:00+00:00,2026-01-14 16:25:00+00:00,261 | 262 | 263,2026-01-14T14:10:00+00:00->2026-01-14T15:15:00+00:00 | 2026-01-14T15:15:00+00:00->2026-01-14T15:35:00+00:00 | 2026-01-14T15:35:00+00:00->2026-01-14T16:10:00+00:00
45,↓ 向下,2026-01-14 16:10:00+00:00,顶分型,110.59159920432657,2026-01-14 22:25:00+00:00,底分型,90.50241512504655,5,NO_GAP,False,False,271,20.09,-0.1817,2026-01-14 16:00:00+00:00,2026-01-14 22:35:00+00:00,264 | 265 | 266 | 267 | 268,2026-01-14T16:10:00+00:00->2026-01-14T18:25:00+00:00 | 2026-01-14T18:25:00+00:00->2026-01-14T20:25:00+00:00 | 2026-01-14T20:25:00+00:00->2026-01-14T21:20:00+00:00 | 2026-01-14T21:20:00+00:00->2026-01-14T21:50:00+00:00 | 2026-01-14T21:50:00+00:00->2026-01-14T22:25:00+00:00
46,↑ 向上,2026-01-14 22:25:00+00:00,底分型,90.50241512504655,2026-01-15 00:50:00+00:00,顶分型,110.1892086671768,3,NO_GAP,False,False,276,19.69,0.2175,2026-01-14 22:10:00+00:00,2026-01-15 00:55:00+00:00,269 | 270 | 271,2026-01-14T22:25:00+00:00->2026-01-14T23:35:00+00:00 | 2026-01-14T23:35:00+00:00->2026-01-15T00:05:00+00:00 | 2026-01-15T00:05:00+00:00->2026-01-15T00:50:00+00:00
47,↓ 向下,2026-01-15 00:50:00+00:00,顶分型,110.1892086671768,2026-01-15 05:55:00+00:00,底分型,89.62247220897916,5,GAP_REVERSE_FRACTAL,True,False,282,20.57,-0.1866,2026-01-15 00:30:00+00:00,2026-01-15 06:00:00+00:00,272 | 273 | 274 | 275 | 276,2026-01-15T00:50:00+00:00->2026-01-15T02:45:00+00:00 | 2026-01-15T02:45:00+00:00->2026-01-15T03:40:00+00:00 | 2026-01-15T03:40:00+00:00->2026-01-15T04:20:00+00:00 | 2026-01-15T04:20:00+00:00->2026-01-15T04:55:00+00:00 | 2026-01-15T04:55:00+00:00->2026-01-15T05:55:00+00:00
48,↑ 向上,2026-01-15 05:55:00+00:00,底分型,89.62247220897916,2026-01-15 12:20:00+00:00,顶分型,110.28329339729986,7,GAP_REVERSE_FRACTAL,True,True,289,20.66,0.2305,2026-01-15 05:50:00+00:00,2026-01-15 12:25:00+00:00,277 | 278 | 279 | 280 | 281 | 282 | 283,2026-01-15T05:55:00+00:00->2026-01-15T06:35:00+00:00 | 2026-01-15T06:35:00+00:00->2026-01-15T06:55:00+00:00 | 2026-01-15T06:55:00+00:00->2026-01-15T07:50:00+00:00 | 2026-01-15T07:50:00+00:00->2026-01-15T08:50:00+00:00 | 2026-01-15T08:50:00+00:00->2026-01-15T09:15:00+00:00 | 2026-01-15T09:15:00+00:00->2026-01-15T10:10:00+00:00 | 2026-01-15T10:10:00+00:00->2026-01-15T12:20:00+00:00
49,↓ 向下,2026-01-15 12:20:00+00:00,顶分型,110.28329339729986,2026-01-15 14:20:00+00:00,底分型,90.14599081514267,3,GAP_REVERSE_FRACTAL,True,False,292,20.14,-0.1826,2026-01-15 12:10:00+00:00,2026-01-15 14:25:00+00:00,284 | 285 | 286,2026-01-15T12:20:00+00:00->2026-01-15T13:00:00+00:00 | 2026-01-15T13:00:00+00:00->2026-01-15T13:30:00+00:00 | 2026-01-15T13:30:00+00:00->2026-01-15T14:20:00+00:00
50,↑ 向上,2026-01-15 14:20:00+00:00,底分型,90.14599081514267,2026-01-15 16:25:00+00:00,顶分型,110.54848436717462,3,GAP_REVERSE_FRACTAL,True,False,295,20.4,0.2263,2026-01-15 14:15:00+00:00,2026-01-15 16:30:00+00:00,287 | 288 | 289,2026-01-15T14:20:00+00:00->2026-01-15T15:00:00+00:00 | 2026-01-15T15:00:00+00:00->2026-01-15T15:35:00+00:00 | 2026-01-15T15:35:00+00:00->2026-01-15T16:25:00+00:00
51,↓ 向下,2026-01-15 16:25:00+00:00,顶分型,110.54848436717462,2026-01-15 22:50:00+00:00,底分型,88.70377354979387,7,GAP_REVERSE_FRACTAL,True,True,302,21.84,-0.1976,2026-01-15 16:20:00+00:00,2026-01-15 23:00:00+00:00,290 | 291 | 292 | 293 | 294 | 295 | 296,2026-01-15T16:25:00+00:00->2026-01-15T17:05:00+00:00 | 2026-01-15T17:05:00+00:00->2026-01-15T17:30:00+00:00 | 2026-01-15T17:30:00+00:00->2026-01-15T18:45:00+00:00 | 2026-01-15T18:45:00+00:00->2026-01-15T19:20:00+00:00 | 2026-01-15T19:20:00+00:00->2026-01-15T19:50:00+00:00 | 2026-01-15T19:50:00+00:00->2026-01-15T20:45:00+00:00 | 2026-01-15T20:45:00+00:00->2026-01-15T22:50:00+00:00
52,↑ 向上,2026-01-15 22:50:00+00:00,底分型,88.70377354979387,2026-01-17 10:45:00+00:00,顶分型,113.2159009304086,29,GAP_REVERSE_FRACTAL,True,True,337,24.51,0.2763,2026-01-15 22:45:00+00:00,2026-01-17 10:55:00+00:00,297 | 298 | 299 | 300 | 301 | 302 | 303 | 304 | 305 | 306 | 307 | 308 | 309 | 310 | 311 | 312 | 313 | 314 | 315 | 316 | 317 | 318 | 319 | 320 | 321 | 322 | 323 | 324 | 325,2026-01-15T22:50:00+00:00->2026-01-15T23:30:00+00:00 | 2026-01-15T23:30:00+00:00->2026-01-16T00:10:00+00:00 | 2026-01-16T00:10:00+00:00->2026-01-16T00:50:00+00:00 | 2026-01-16T00:50:00+00:00->2026-01-16T01:45:00+00:00 | 2026-01-16T01:45:00+00:00->2026-01-16T02:10:00+00:00 | 2026-01-16T02:10:00+00:00->2026-01-16T03:10:00+00:00 | 2026-01-16T03:10:00+00:00->2026-01-16T05:15:00+00:00 | 2026-01-16T05:15:00+00:00->2026-01-16T07:30:00+00:00 | 2026-01-16T07:30:00+00:00->2026-01-16T08:00:00+00:00 | 2026-01-16T08:00:00+00:00->2026-01-16T08:30:00+00:00 | 2026-01-16T08:30:00+00:00->2026-01-16T09:20:00+00:00 | 2026-01-16T09:20:00+00:00->2026-01-16T10:10:00+00:00 | 2026-01-16T10:10:00+00:00->2026-01-16T10:35:00+00:00 | 2026-01-16T10:35:00+00:00->2026-01-16T11:35:00+00:00 | 2026-01-16T11:35:00+00:00->2026-01-16T13:35:00+00:00 | 2026-01-16T13:35:00+00:00->2026-01-16T15:50:00+00:00 | 2026-01-16T15:50:00+00:00->2026-01-16T17:50:00+00:00 | 2026-01-16T17:50:00+00:00->2026-01-16T20:00:00+00:00 | 2026-01-16T20:00:00+00:00->2026-01-16T20:50:00+00:00 | 2026-01-16T20:50:00+00:00->2026-01-16T21:05:00+00:00 | 2026-01-16T21:05:00+00:00->2026-01-16T22:10:00+00:00 | 2026-01-16T22:10:00+00:00->2026-01-17T00:15:00+00:00 | 2026-01-17T00:15:00+00:00->2026-01-17T02:20:00+00:00 | 2026-01-17T02:20:00+00:00->2026-01-17T04:35:00+00:00 | 2026-01-17T04:35:00+00:00->2026-01-17T05:20:00+00:00 | 2026-01-17T05:20:00+00:00->2026-01-17T05:40:00+00:00 | 2026-01-17T05:40:00+00:00->2026-01-17T06:30:00+00:00 | 2026-01-17T06:30:00+00:00->2026-01-17T08:40:00+00:00 | 2026-01-17T08:40:00+00:00->2026-01-17T10:45:00+00:00
53,↓ 向下,2026-01-17 10:45:00+00:00,顶分型,113.2159009304086,2026-01-18 01:35:00+00:00,底分型,86.90753177610257,9,NO_GAP,False,False,337,26.31,-0.2324,2026-01-17 10:40:00+00:00,2026-01-18 01:45:00+00:00,326 | 327 | 328 | 329 | 330 | 331 | 332 | 333 | 334,2026-01-17T10:45:00+00:00->2026-01-17T13:05:00+00:00 | 2026-01-17T13:05:00+00:00->2026-01-17T13:45:00+00:00 | 2026-01-17T13:45:00+00:00->2026-01-17T14:10:00+00:00 | 2026-01-17T14:10:00+00:00->2026-01-17T15:00:00+00:00 | 2026-01-17T15:00:00+00:00->2026-01-17T17:15:00+00:00 | 2026-01-17T17:15:00+00:00->2026-01-17T19:20:00+00:00 | 2026-01-17T19:20:00+00:00->2026-01-17T21:20:00+00:00 | 2026-01-17T21:20:00+00:00->2026-01-17T23:30:00+00:00 | 2026-01-17T23:30:00+00:00->2026-01-18T01:35:00+00:00
