序列起点笔位置,待识别线段方向,特征元素序号,元素合并方向,特征笔方向,包含笔位置,high,low,起点时间,终点时间
104,向下,15,向下,向上,117,99.22824747548019,88.07458815965987,2026-01-07 05:40:00+00:00,2026-01-07 06:20:00+00:00
104,向下,16,向下,向上,119,112.08794609929859,95.62149998138698,2026-01-07 06:40:00+00:00,2026-01-07 07:35:00+00:00
104,向下,17,向下,向上,119,112.08794609929859,95.62149998138698,2026-01-07 06:40:00+00:00,2026-01-07 07:35:00+00:00
107,向上,0,向上,向下,108,97.75733366280588,92.72325855304342,2026-01-06 13:20:00+00:00,2026-01-06 13:40:00+00:00
107,向上,1,向上,向下,110,110.967879286437,88.53279277522964,2026-01-06 14:55:00+00:00,2026-01-06 17:00:00+00:00
107,向上,2,向上,向下,112,111.41225738501696,88.82535769470702,2026-01-06 19:05:00+00:00,2026-01-06 21:20:00+00:00
107,向上,3,向上,向下,110,110.967879286437,88.53279277522964,2026-01-06 14:55:00+00:00,2026-01-06 17:00:00+00:00
107,向上,4,向上,向下,112 | 114,112.1854404477716,88.82535769470702,2026-01-06 19:05:00+00:00,2026-01-07 01:20:00+00:00
107,向上,6,向上,向下,112,111.41225738501696,88.82535769470702,2026-01-06 19:05:00+00:00,2026-01-06 21:20:00+00:00
107,向上,7,向上,向下,114,112.1854404477716,87.59925675269392,2026-01-06 23:15:00+00:00,2026-01-07 01:20:00+00:00
107,向上,9,向上,向下,114,112.1854404477716,87.59925675269392,2026-01-06 23:15:00+00:00,2026-01-07 01:20:00+00:00
115,向上,0,向上,向下,116 | 118 | 120,112.40455765660947,99.97904156261623,2026-01-07 03:30:00+00:00,2026-01-07 08:40:00+00:00
115,向上,1,向上,向下,122,104.05152568215637,87.62761787095029,2026-01-07 09:00:00+00:00,2026-01-07 09:50:00+00:00
115,向上,2,向上,向下,118,99.22824747548019,95.62149998138698,2026-01-07 06:20:00+00:00,2026-01-07 06:40:00+00:00
115,向上,3,向上,向下,120,112.08794609929859,99.97904156261623,2026-01-07 07:35:00+00:00,2026-01-07 08:40:00+00:00
115,向上,4,向下,向下,122,104.05152568215637,87.62761787095029,2026-01-07 09:00:00+00:00,2026-01-07 09:50:00+00:00
115,向上,5,向上,向下,120,112.08794609929859,99.97904156261623,2026-01-07 07:35:00+00:00,2026-01-07 08:40:00+00:00
115,向上,6,向上,向下,122,104.05152568215637,87.62761787095029,2026-01-07 09:00:00+00:00,2026-01-07 09:50:00+00:00
115,向上,7,向上,向下,122,104.05152568215637,87.62761787095029,2026-01-07 09:00:00+00:00,2026-01-07 09:50:00+00:00
115,向上,8,向上,向下,124,112.00408450558245,87.12087124398333,2026-01-07 12:00:00+00:00,2026-01-07 14:05:00+00:00
115,向上,9,向上,向下,126,112.55355135897362,88.1201122350361,2026-01-07 16:05:00+00:00,2026-01-07 18:10:00+00:00
115,向上,10,向上,向下,124,112.00408450558245,87.12087124398333,2026-01-07 12:00:00+00:00,2026-01-07 14:05:00+00:00
115,向上,11,向上,向下,126,112.55355135897362,88.1201122350361,2026-01-07 16:05:00+00:00,2026-01-07 18:10:00+00:00
115,向上,12,向上,向下,128,112.85866737381562,98.8238082317923,2026-01-07 20:25:00+00:00,2026-01-07 21:15:00+00:00
115,向上,13,向上,向下,126,112.55355135897362,88.1201122350361,2026-01-07 16:05:00+00:00,2026-01-07 18:10:00+00:00
115,向上,14,向上,向下,128,112.85866737381562,98.8238082317923,2026-01-07 20:25:00+00:00,2026-01-07 21:15:00+00:00
115,向上,15,向下,向下,130,102.48764913186821,87.2918460474144,2026-01-07 21:40:00+00:00,2026-01-07 22:20:00+00:00
115,向上,16,向上,向下,128,112.85866737381562,98.8238082317923,2026-01-07 20:25:00+00:00,2026-01-07 21:15:00+00:00
115,向上,17,向上,向下,130,102.48764913186821,87.2918460474144,2026-01-07 21:40:00+00:00,2026-01-07 22:20:00+00:00
115,向上,18,向上,向下,130,102.48764913186821,87.2918460474144,2026-01-07 21:40:00+00:00,2026-01-07 22:20:00+00:00
120,向下,0,向下,向上,121,104.05152568215637,99.97904156261623,2026-01-07 08:40:00+00:00,2026-01-07 09:00:00+00:00
120,向下,1,向下,向上,123 | 125,112.00408450558245,87.12087124398333,2026-01-07 09:50:00+00:00,2026-01-07 16:05:00+00:00
120,向下,3,向下,向上,123,112.00408450558245,87.62761787095029,2026-01-07 09:50:00+00:00,2026-01-07 12:00:00+00:00
120,向下,4,向下,向上,125,112.55355135897362,87.12087124398333,2026-01-07 14:05:00+00:00,2026-01-07 16:05:00+00:00
120,向下,6,向下,向上,125,112.55355135897362,87.12087124398333,2026-01-07 14:05:00+00:00,2026-01-07 16:05:00+00:00
126,向下,0,向下,向上,127,112.85866737381562,88.1201122350361,2026-01-07 18:10:00+00:00,2026-01-07 20:25:00+00:00
128,向下,0,向下,向上,129,102.48764913186821,98.8238082317923,2026-01-07 21:15:00+00:00,2026-01-07 21:40:00+00:00
128,向下,1,向下,向上,131 | 133,102.25988630056418,87.2918460474144,2026-01-07 22:20:00+00:00,2026-01-08 01:40:00+00:00
128,向下,2,向下,向上,135,101.91425095806076,87.1809765505783,2026-01-08 02:45:00+00:00,2026-01-08 03:35:00+00:00
128,向下,3,向下,向上,131 | 133,102.25988630056418,87.2918460474144,2026-01-07 22:20:00+00:00,2026-01-08 01:40:00+00:00
128,向下,4,向下,向上,135,101.91425095806076,87.1809765505783,2026-01-08 02:45:00+00:00,2026-01-08 03:35:00+00:00
128,向下,5,向上,向上,137,113.57894951849332,98.42560452339887,2026-01-08 03:50:00+00:00,2026-01-08 04:50:00+00:00
128,向下,6,向下,向上,133,102.25988630056418,98.0753603333653,2026-01-08 01:25:00+00:00,2026-01-08 01:40:00+00:00
128,向下,7,向下,向上,135,101.91425095806076,87.1809765505783,2026-01-08 02:45:00+00:00,2026-01-08 03:35:00+00:00
128,向下,8,向上,向上,137,113.57894951849332,98.42560452339887,2026-01-08 03:50:00+00:00,2026-01-08 04:50:00+00:00
128,向下,9,向下,向上,135,101.91425095806076,87.1809765505783,2026-01-08 02:45:00+00:00,2026-01-08 03:35:00+00:00
128,向下,10,向下,向上,137,113.57894951849332,98.42560452339887,2026-01-08 03:50:00+00:00,2026-01-08 04:50:00+00:00
128,向下,11,向下,向上,137,113.57894951849332,98.42560452339887,2026-01-08 03:50:00+00:00,2026-01-08 04:50:00+00:00
135,向上,0,向上,向下,136,101.91425095806076,98.42560452339887,2026-01-08 03:35:00+00:00,2026-01-08 03:50:00+00:00
135,向上,1,向上,向下,138 | 140,113.57894951849332,87.79597478002584,2026-01-08 04:50:00+00:00,2026-01-08 11:10:00+00:00
135,向上,2,向下,向下,142,112.75360200581315,87.74645060024736,2026-01-08 13:20:00+00:00,2026-01-08 15:20:00+00:00
135,向上,3,向上,向下,138 | 140,113.57894951849332,87.79597478002584,2026-01-08 04:50:00+00:00,2026-01-08 11:10:00+00:00
135,向上,4,向上,向下,142,112.75360200581315,87.74645060024736,2026-01-08 13:20:00+00:00,2026-01-08 15:20:00+00:00
135,向上,5,向上,向下,140,112.66150325467775,87.79597478002584,2026-01-08 09:05:00+00:00,2026-01-08 11:10:00+00:00
135,向上,6,向上,向下,142,112.75360200581315,87.74645060024736,2026-01-08 13:20:00+00:00,2026-01-08 15:20:00+00:00
135,向上,8,向上,向下,142,112.75360200581315,87.74645060024736,2026-01-08 13:20:00+00:00,2026-01-08 15:20:00+00:00
138,向下,0,向下,向上,139,112.66150325467775,87.025533873264,2026-01-08 06:55:00+00:00,2026-01-08 09:05:00+00:00
138,向下,1,向下,向上,141,112.75360200581315,87.79597478002584,2026-01-08 11:10:00+00:00,2026-01-08 13:20:00+00:00
138,向下,2,向下,向上,141,112.75360200581315,87.79597478002584,2026-01-08 11:10:00+00:00,2026-01-08 13:20:00+00:00
138,向下,3,向下,向上,143 | 145 | 147,98.75277975497156,87.27018566434882,2026-01-08 15:20:00+00:00,2026-01-08 23:05:00+00:00
138,向下,4,向上,向上,149,112.67400167821718,88.15009407715547,2026-01-09 00:00:00+00:00,2026-01-09 02:00:00+00:00
138,向下,5,向下,向上,143,112.0095038622369,87.74645060024736,2026-01-08 15:20:00+00:00,2026-01-08 17:25:00+00:00
138,向下,6,向下,向上,145 | 147,98.75277975497156,87.27018566434882,2026-01-08 19:45:00+00:00,2026-01-08 23:05:00+00:00
138,向下,7,向上,向上,149,112.67400167821718,88.15009407715547,2026-01-09 00:00:00+00:00,2026-01-09 02:00:00+00:00
138,向下,8,向下,向上,145 | 147,98.75277975497156,87.27018566434882,2026-01-08 19:45:00+00:00,2026-01-08 23:05:00+00:00
138,向下,9,向下,向上,149,112.67400167821718,88.15009407715547,2026-01-09 00:00:00+00:00,2026-01-09 02:00:00+00:00
138,向下,10,向下,向上,147,98.75277975497156,94.96218033878972,2026-01-08 22:45:00+00:00,2026-01-08 23:05:00+00:00
138,向下,11,向下,向上,149,112.67400167821718,88.15009407715547,2026-01-09 00:00:00+00:00,2026-01-09 02:00:00+00:00
138,向下,13,向下,向上,149,112.67400167821718,88.15009407715547,2026-01-09 00:00:00+00:00,2026-01-09 02:00:00+00:00
145,向上,0,向上,向下,146,112.43097907032552,94.96218033878972,2026-01-08 21:45:00+00:00,2026-01-08 22:45:00+00:00
145,向上,1,向上,向下,148,98.75277975497156,88.15009407715547,2026-01-08 23:05:00+00:00,2026-01-09 00:00:00+00:00
145,向上,2,向上,向下,148,98.75277975497156,88.15009407715547,2026-01-08 23:05:00+00:00,2026-01-09 00:00:00+00:00
145,向上,3,向上,向下,150,112.67400167821718,87.93308514440496,2026-01-09 02:00:00+00:00,2026-01-09 04:05:00+00:00
145,向上,4,向下,向下,152,111.69866962986531,87.6928949866896,2026-01-09 06:10:00+00:00,2026-01-09 08:15:00+00:00
145,向上,5,向上,向下,150,112.67400167821718,87.93308514440496,2026-01-09 02:00:00+00:00,2026-01-09 04:05:00+00:00
145,向上,6,向上,向下,152,111.69866962986531,87.6928949866896,2026-01-09 06:10:00+00:00,2026-01-09 08:15:00+00:00
145,向上,7,向上,向下,152,111.69866962986531,87.6928949866896,2026-01-09 06:10:00+00:00,2026-01-09 08:15:00+00:00
150,向下,0,向下,向上,151,111.69866962986531,87.93308514440496,2026-01-09 04:05:00+00:00,2026-01-09 06:10:00+00:00
150,向下,1,向下,向上,153,106.67042094824328,87.6928949866896,2026-01-09 08:15:00+00:00,2026-01-09 09:25:00+00:00
150,向下,2,向上,向上,155,112.1945857049187,102.30689108868309,2026-01-09 09:45:00+00:00,2026-01-09 10:25:00+00:00
150,向下,3,向下,向上,153,106.67042094824328,87.6928949866896,2026-01-09 08:15:00+00:00,2026-01-09 09:25:00+00:00
150,向下,4,向下,向上,155,112.1945857049187,102.30689108868309,2026-01-09 09:45:00+00:00,2026-01-09 10:25:00+00:00
150,向下,5,向下,向上,155,112.1945857049187,102.30689108868309,2026-01-09 09:45:00+00:00,2026-01-09 10:25:00+00:00
153,向上,0,向上,向下,154,106.67042094824328,102.30689108868309,2026-01-09 09:25:00+00:00,2026-01-09 09:45:00+00:00
153,向上,1,向上,向下,156 | 158,112.1945857049187,101.81288876737983,2026-01-09 10:25:00+00:00,2026-01-09 14:00:00+00:00
153,向上,2,向下,向下,160,111.39078133317334,92.37874243529345,2026-01-09 14:45:00+00:00,2026-01-09 15:35:00+00:00
153,向上,3,向上,向下,156 | 158,112.1945857049187,101.81288876737983,2026-01-09 10:25:00+00:00,2026-01-09 14:00:00+00:00
153,向上,4,向上,向下,160,111.39078133317334,92.37874243529345,2026-01-09 14:45:00+00:00,2026-01-09 15:35:00+00:00
153,向上,5,向上,向下,158,107.37441299528375,101.81288876737983,2026-01-09 13:40:00+00:00,2026-01-09 14:00:00+00:00
153,向上,6,向上,向下,160,111.39078133317334,92.37874243529345,2026-01-09 14:45:00+00:00,2026-01-09 15:35:00+00:00
153,向上,8,向上,向下,160,111.39078133317334,92.37874243529345,2026-01-09 14:45:00+00:00,2026-01-09 15:35:00+00:00
156,向下,0,向下,向上,157,107.37441299528375,88.02020686269532,2026-01-09 12:35:00+00:00,2026-01-09 13:40:00+00:00
156,向下,1,向下,向上,159,111.39078133317334,101.81288876737983,2026-01-09 14:00:00+00:00,2026-01-09 14:45:00+00:00
156,向下,2,向下,向上,159,111.39078133317334,101.81288876737983,2026-01-09 14:00:00+00:00,2026-01-09 14:45:00+00:00
156,向下,3,向下,向上,161 | 163,97.41597320717685,88.63759524006669,2026-01-09 15:35:00+00:00,2026-01-09 17:45:00+00:00
156,向下,4,向上,向上,165,110.93013363789335,103.18667085461459,2026-01-09 18:20:00+00:00,2026-01-09 18:50:00+00:00
156,向下,5,向下,向上,161,97.41597320717685,92.37874243529345,2026-01-09 15:35:00+00:00,2026-01-09 16:00:00+00:00
156,向下,6,向下,向上,163,108.3542178617094,88.63759524006669,2026-01-09 16:50:00+00:00,2026-01-09 17:45:00+00:00
156,向下,7,向上,向上,165,110.93013363789335,103.18667085461459,2026-01-09 18:20:00+00:00,2026-01-09 18:50:00+00:00
156,向下,8,向下,向上,163,108.3542178617094,88.63759524006669,2026-01-09 16:50:00+00:00,2026-01-09 17:45:00+00:00
156,向下,9,向下,向上,165,110.93013363789335,103.18667085461459,2026-01-09 18:20:00+00:00,2026-01-09 18:50:00+00:00
156,向下,10,向下,向上,165,110.93013363789335,103.18667085461459,2026-01-09 18:20:00+00:00,2026-01-09 18:50:00+00:00
156,向下,11,向下,向上,167 | 169,96.77391132869394,89.76442852054507,2026-01-09 21:05:00+00:00,2026-01-10 00:35:00+00:00
156,向下,13,向下,向上,167 | 169,96.77391132869394,89.76442852054507,2026-01-09 21:05:00+00:00,2026-01-10 00:35:00+00:00
156,向下,15,向下,向上,169,96.77391132869394,91.59734379338086,2026-01-10 00:15:00+00:00,2026-01-10 00:35:00+00:00
163,向上,0,向上,向下,164,108.3542178617094,103.18667085461459,2026-01-09 17:45:00+00:00,2026-01-09 18:20:00+00:00
163,向上,1,向上,向下,166 | 168,110.93013363789335,91.59734379338086,2026-01-09 18:50:00+00:00,2026-01-10 00:15:00+00:00
163,向上,2,向下,向下,170,96.77391132869394,89.81629781092089,2026-01-10 00:35:00+00:00,2026-01-10 01:10:00+00:00
163,向上,3,向上,向下,166 | 168,110.93013363789335,91.59734379338086,2026-01-09 18:50:00+00:00,2026-01-10 00:15:00+00:00
163,向上,4,向上,向下,170,96.77391132869394,89.81629781092089,2026-01-10 00:35:00+00:00,2026-01-10 01:10:00+00:00
163,向上,5,向上,向下,168,110.16614988247126,91.59734379338086,2026-01-09 23:00:00+00:00,2026-01-10 00:15:00+00:00
163,向上,6,向上,向下,170,96.77391132869394,89.81629781092089,2026-01-10 00:35:00+00:00,2026-01-10 01:10:00+00:00
163,向上,7,向上,向下,170,96.77391132869394,89.81629781092089,2026-01-10 00:35:00+00:00,2026-01-10 01:10:00+00:00
166,向下,0,向下,向上,167 | 169,96.77391132869394,89.76442852054507,2026-01-09 21:05:00+00:00,2026-01-10 00:35:00+00:00
166,向下,1,向下,向上,171,109.1557907556781,89.81629781092089,2026-01-10 01:10:00+00:00,2026-01-10 02:10:00+00:00
166,向下,2,向下,向上,169,96.77391132869394,91.59734379338086,2026-01-10 00:15:00+00:00,2026-01-10 00:35:00+00:00
166,向下,3,向下,向上,171,109.1557907556781,89.81629781092089,2026-01-10 01:10:00+00:00,2026-01-10 02:10:00+00:00
166,向下,4,向上,向上,173,110.64496669308403,103.05597886501823,2026-01-10 02:45:00+00:00,2026-01-10 03:20:00+00:00
166,向下,5,向下,向上,171,109.1557907556781,89.81629781092089,2026-01-10 01:10:00+00:00,2026-01-10 02:10:00+00:00
166,向下,6,向下,向上,173,110.64496669308403,103.05597886501823,2026-01-10 02:45:00+00:00,2026-01-10 03:20:00+00:00
166,向下,7,向下,向上,173,110.64496669308403,103.05597886501823,2026-01-10 02:45:00+00:00,2026-01-10 03:20:00+00:00
171,向上,0,向上,向下,172,109.1557907556781,103.05597886501823,2026-01-10 02:10:00+00:00,2026-01-10 02:45:00+00:00
171,向上,1,向上,向下,174,110.64496669308403,90.93762255692826,2026-01-10 03:20:00+00:00,2026-01-10 04:20:00+00:00
171,向上,2,向下,向下,176,96.6467872534518,90.34511551922135,2026-01-10 04:50:00+00:00,2026-01-10 05:35:00+00:00
171,向上,3,向上,向下,174,110.64496669308403,90.93762255692826,2026-01-10 03:20:00+00:00,2026-01-10 04:20:00+00:00
171,向上,4,向上,向下,176,96.6467872534518,90.34511551922135,2026-01-10 04:50:00+00:00,2026-01-10 05:35:00+00:00
171,向上,5,向上,向下,176,96.6467872534518,90.34511551922135,2026-01-10 04:50:00+00:00,2026-01-10 05:35:00+00:00
174,向下,0,向下,向上,175,96.6467872534518,90.93762255692826,2026-01-10 04:20:00+00:00,2026-01-10 04:50:00+00:00
174,向下,1,向下,向上,177 | 179 | 181,108.91056197896836,90.34511551922135,2026-01-10 05:35:00+00:00,2026-01-10 11:40:00+00:00
174,向下,2,向下,向上,183,97.1147589384621,89.96549396857695,2026-01-10 13:00:00+00:00,2026-01-10 13:25:00+00:00
174,向下,3,向下,向上,177 | 179 | 181,108.91056197896836,90.34511551922135,2026-01-10 05:35:00+00:00,2026-01-10 11:40:00+00:00
174,向下,4,向下,向上,183,97.1147589384621,89.96549396857695,2026-01-10 13:00:00+00:00,2026-01-10 13:25:00+00:00
174,向下,5,向上,向上,185,109.66997340839787,90.65641040516253,2026-01-10 13:55:00+00:00,2026-01-10 15:10:00+00:00
174,向下,6,向下,向上,179 | 181,108.91056197896836,90.58204727412372,2026-01-10 08:35:00+00:00,2026-01-10 11:40:00+00:00
174,向下,7,向下,向上,183,97.1147589384621,89.96549396857695,2026-01-10 13:00:00+00:00,2026-01-10 13:25:00+00:00
174,向下,8,向上,向上,185,109.66997340839787,90.65641040516253,2026-01-10 13:55:00+00:00,2026-01-10 15:10:00+00:00
174,向下,9,向下,向上,181,108.91056197896836,103.11683542869008,2026-01-10 11:20:00+00:00,2026-01-10 11:40:00+00:00
174,向下,10,向下,向上,183,97.1147589384621,89.96549396857695,2026-01-10 13:00:00+00:00,2026-01-10 13:25:00+00:00
174,向下,11,向上,向上,185,109.66997340839787,90.65641040516253,2026-01-10 13:55:00+00:00,2026-01-10 15:10:00+00:00
174,向下,12,向下,向上,183,97.1147589384621,89.96549396857695,2026-01-10 13:00:00+00:00,2026-01-10 13:25:00+00:00
174,向下,13,向下,向上,185,109.66997340839787,90.65641040516253,2026-01-10 13:55:00+00:00,2026-01-10 15:10:00+00:00
174,向下,14,向下,向上,185,109.66997340839787,90.65641040516253,2026-01-10 13:55:00+00:00,2026-01-10 15:10:00+00:00
183,向上,0,向上,向下,184,97.1147589384621,90.65641040516253,2026-01-10 13:25:00+00:00,2026-01-10 13:55:00+00:00
183,向上,1,向上,向下,186 | 188 | 190,110.44167949374186,91.06679154339383,2026-01-10 15:10:00+00:00,2026-01-10 21:15:00+00:00
183,向上,2,向上,向下,192,111.34127538063434,103.35418416661317,2026-01-10 23:25:00+00:00,2026-01-11 00:05:00+00:00
183,向上,3,向上,向下,186 | 188,109.66997340839787,91.06679154339383,2026-01-10 15:10:00+00:00,2026-01-10 18:10:00+00:00
183,向上,4,向上,向下,190,110.44167949374186,89.78965727311068,2026-01-10 19:15:00+00:00,2026-01-10 21:15:00+00:00
183,向上,5,向上,向下,192,111.34127538063434,103.35418416661317,2026-01-10 23:25:00+00:00,2026-01-11 00:05:00+00:00
183,向上,6,向上,向下,188,96.12691847015681,91.06679154339383,2026-01-10 17:45:00+00:00,2026-01-10 18:10:00+00:00
183,向上,7,向上,向下,190,110.44167949374186,89.78965727311068,2026-01-10 19:15:00+00:00,2026-01-10 21:15:00+00:00
183,向上,8,向上,向下,192,111.34127538063434,103.35418416661317,2026-01-10 23:25:00+00:00,2026-01-11 00:05:00+00:00
183,向上,9,向上,向下,190,110.44167949374186,89.78965727311068,2026-01-10 19:15:00+00:00,2026-01-10 21:15:00+00:00
183,向上,10,向上,向下,192,111.34127538063434,103.35418416661317,2026-01-10 23:25:00+00:00,2026-01-11 00:05:00+00:00
183,向上,11,向下,向下,194,107.9701381280046,89.37563517638253,2026-01-11 00:25:00+00:00,2026-01-11 01:35:00+00:00
183,向上,12,向上,向下,192,111.34127538063434,103.35418416661317,2026-01-10 23:25:00+00:00,2026-01-11 00:05:00+00:00
183,向上,13,向上,向下,194,107.9701381280046,89.37563517638253,2026-01-11 00:25:00+00:00,2026-01-11 01:35:00+00:00
183,向上,14,向上,向下,194,107.9701381280046,89.37563517638253,2026-01-11 00:25:00+00:00,2026-01-11 01:35:00+00:00
192,向下,0,向下,向上,193,107.9701381280046,103.35418416661317,2026-01-11 00:05:00+00:00,2026-01-11 00:25:00+00:00
192,向下,1,向下,向上,195,97.1150735873325,89.37563517638253,2026-01-11 01:35:00+00:00,2026-01-11 02:05:00+00:00
192,向下,2,向上,向上,197,111.55808245222487,92.29136044238847,2026-01-11 02:35:00+00:00,2026-01-11 03:35:00+00:00
192,向下,3,向下,向上,195,97.1150735873325,89.37563517638253,2026-01-11 01:35:00+00:00,2026-01-11 02:05:00+00:00
192,向下,4,向下,向上,197,111.55808245222487,92.29136044238847,2026-01-11 02:35:00+00:00,2026-01-11 03:35:00+00:00
192,向下,5,向下,向上,197 | 199,107.44299830478577,92.29136044238847,2026-01-11 02:35:00+00:00,2026-01-11 04:50:00+00:00
192,向下,8,向下,向上,199,107.44299830478577,102.17382043928545,2026-01-11 04:20:00+00:00,2026-01-11 04:50:00+00:00
195,向上,0,向上,向下,196,97.1150735873325,92.29136044238847,2026-01-11 02:05:00+00:00,2026-01-11 02:35:00+00:00
195,向上,1,向上,向下,198,111.55808245222487,102.17382043928545,2026-01-11 03:35:00+00:00,2026-01-11 04:20:00+00:00
195,向上,2,向下,向下,200,107.44299830478577,88.22927230323205,2026-01-11 04:50:00+00:00,2026-01-11 05:50:00+00:00
195,向上,3,向上,向下,198,111.55808245222487,102.17382043928545,2026-01-11 03:35:00+00:00,2026-01-11 04:20:00+00:00
195,向上,4,向上,向下,200,107.44299830478577,88.22927230323205,2026-01-11 04:50:00+00:00,2026-01-11 05:50:00+00:00
195,向上,5,向上,向下,200 | 202,107.44299830478577,93.31179447065142,2026-01-11 04:50:00+00:00,2026-01-11 06:45:00+00:00
195,向上,8,向上,向下,202,97.86677485639565,93.31179447065142,2026-01-11 06:30:00+00:00,2026-01-11 06:45:00+00:00
198,向下,0,向下,向上,199,107.44299830478577,102.17382043928545,2026-01-11 04:20:00+00:00,2026-01-11 04:50:00+00:00
198,向下,1,向下,向上,201,97.86677485639565,88.22927230323205,2026-01-11 05:50:00+00:00,2026-01-11 06:30:00+00:00
198,向下,2,向上,向上,203,110.54003910558671,93.31179447065142,2026-01-11 06:45:00+00:00,2026-01-11 07:55:00+00:00
198,向下,3,向下,向上,201,97.86677485639565,88.22927230323205,2026-01-11 05:50:00+00:00,2026-01-11 06:30:00+00:00
198,向下,4,向下,向上,203,110.54003910558671,93.31179447065142,2026-01-11 06:45:00+00:00,2026-01-11 07:55:00+00:00
198,向下,5,向下,向上,203 | 205,106.29945180694864,93.31179447065142,2026-01-11 06:45:00+00:00,2026-01-11 08:50:00+00:00
198,向下,8,向下,向上,205,106.29945180694864,101.80404049459206,2026-01-11 08:35:00+00:00,2026-01-11 08:50:00+00:00
201,向上,0,向上,向下,202,97.86677485639565,93.31179447065142,2026-01-11 06:30:00+00:00,2026-01-11 06:45:00+00:00
201,向上,1,向上,向下,204,110.54003910558671,101.80404049459206,2026-01-11 07:55:00+00:00,2026-01-11 08:35:00+00:00
201,向上,2,向下,向下,206,106.29945180694864,88.72993849760542,2026-01-11 08:50:00+00:00,2026-01-11 10:05:00+00:00
201,向上,3,向上,向下,204,110.54003910558671,101.80404049459206,2026-01-11 07:55:00+00:00,2026-01-11 08:35:00+00:00
201,向上,4,向上,向下,206,106.29945180694864,88.72993849760542,2026-01-11 08:50:00+00:00,2026-01-11 10:05:00+00:00
201,向上,5,向上,向下,206,106.29945180694864,88.72993849760542,2026-01-11 08:50:00+00:00,2026-01-11 10:05:00+00:00
201,向上,6,向上,向下,208,111.21557670486423,88.18185596948044,2026-01-11 12:05:00+00:00,2026-01-11 14:15:00+00:00
201,向上,7,向上,向下,210,111.99146658364309,101.21546272466693,2026-01-11 16:25:00+00:00,2026-01-11 17:05:00+00:00
201,向上,8,向上,向下,208,111.21557670486423,88.18185596948044,2026-01-11 12:05:00+00:00,2026-01-11 14:15:00+00:00
201,向上,9,向上,向下,210,111.99146658364309,101.21546272466693,2026-01-11 16:25:00+00:00,2026-01-11 17:05:00+00:00
201,向上,10,向下,向下,212,105.55298982583722,87.7490295629529,2026-01-11 17:35:00+00:00,2026-01-11 18:25:00+00:00
201,向上,11,向上,向下,210,111.99146658364309,101.21546272466693,2026-01-11 16:25:00+00:00,2026-01-11 17:05:00+00:00
201,向上,12,向上,向下,212,105.55298982583722,87.7490295629529,2026-01-11 17:35:00+00:00,2026-01-11 18:25:00+00:00
201,向上,13,向上,向下,212,105.55298982583722,87.7490295629529,2026-01-11 17:35:00+00:00,2026-01-11 18:25:00+00:00
204,向下,0,向下,向上,205,106.29945180694864,101.80404049459206,2026-01-11 08:35:00+00:00,2026-01-11 08:50:00+00:00
204,向下,1,向下,向上,207,111.21557670486423,88.72993849760542,2026-01-11 10:05:00+00:00,2026-01-11 12:05:00+00:00
204,向下,3,向下,向上,207,111.21557670486423,88.72993849760542,2026-01-11 10:05:00+00:00,2026-01-11 12:05:00+00:00
208,向下,0,向下,向上,209,111.99146658364309,88.18185596948044,2026-01-11 14:15:00+00:00,2026-01-11 16:25:00+00:00
210,向下,0,向下,向上,211,105.55298982583722,101.21546272466693,2026-01-11 17:05:00+00:00,2026-01-11 17:35:00+00:00
210,向下,1,向下,向上,213,99.2031504109408,87.7490295629529,2026-01-11 18:25:00+00:00,2026-01-11 19:15:00+00:00
210,向下,2,向上,向上,215,111.54188509635811,94.13414049475931,2026-01-11 19:35:00+00:00,2026-01-11 20:25:00+00:00
210,向下,3,向下,向上,213,99.2031504109408,87.7490295629529,2026-01-11 18:25:00+00:00,2026-01-11 19:15:00+00:00
210,向下,4,向下,向上,215,111.54188509635811,94.13414049475931,2026-01-11 19:35:00+00:00,2026-01-11 20:25:00+00:00
210,向下,5,向下,向上,215,111.54188509635811,94.13414049475931,2026-01-11 19:35:00+00:00,2026-01-11 20:25:00+00:00
210,向下,6,向下,向上,217,99.58155896593769,87.7742673746027,2026-01-11 22:45:00+00:00,2026-01-11 23:25:00+00:00
210,向下,7,向上,向上,219,111.97412925611842,95.38120243654637,2026-01-11 23:50:00+00:00,2026-01-12 00:55:00+00:00
210,向下,8,向下,向上,217,99.58155896593769,87.7742673746027,2026-01-11 22:45:00+00:00,2026-01-11 23:25:00+00:00
210,向下,9,向下,向上,219,111.97412925611842,95.38120243654637,2026-01-11 23:50:00+00:00,2026-01-12 00:55:00+00:00
210,向下,10,向下,向上,219,111.97412925611842,95.38120243654637,2026-01-11 23:50:00+00:00,2026-01-12 00:55:00+00:00
210,向下,11,向下,向上,221,112.28135681792287,87.50767090244233,2026-01-12 02:50:00+00:00,2026-01-12 04:55:00+00:00
210,向下,12,向上,向上,223,112.708175080453,87.61320100275343,2026-01-12 07:15:00+00:00,2026-01-12 09:15:00+00:00
210,向下,13,向下,向上,221,112.28135681792287,87.50767090244233,2026-01-12 02:50:00+00:00,2026-01-12 04:55:00+00:00
210,向下,14,向下,向上,223,112.708175080453,87.61320100275343,2026-01-12 07:15:00+00:00,2026-01-12 09:15:00+00:00
210,向下,15,向下,向上,223,112.708175080453,87.61320100275343,2026-01-12 07:15:00+00:00,2026-01-12 09:15:00+00:00
